Year,News,VAAC,Total
2008,18,0,18
2009,7,0,7
2010,12,0,12
2014,6,0,6
2015,46,0,46
2016,10,2,12
2017,23,3,26
2018,21,3,24
2019,23,6,29
2020,27,3,30
2021,35,2,37
2022,25,1,26
2023,22,1,23
2024,1,0,1
