Year,News,VAAC,Total
2008,21,0,21
2009,38,0,38
2010,27,0,27
2011,13,0,13
2012,8,0,8
2013,22,0,22
2014,29,0,29
2015,16,0,16
2016,36,77,113
2017,21,87,108
2018,15,89,104
2019,22,31,53
2020,71,417,488
2021,69,1405,1474
2022,50,1001,1051
2023,55,606,661
2024,42,297,339
