Year,News,VAAC,Total
2008,27,0,27
2009,21,0,21
2010,23,0,23
2011,24,0,24
2012,115,0,115
2013,115,0,115
2014,70,0,70
2015,22,0,22
2016,53,43,96
2017,6,11,17
2018,11,33,44
2019,16,62,78
2020,29,19,48
2021,16,31,47
2022,25,33,58
2023,42,303,345
2024,29,538,567
