DATE,PRCP,TMAX,NROWS,MULT
2000,3933.0,,366,1.0
2001,4379.0,,365,1.1133994406305618
2002,5541.0,,365,1.2653573875314
2003,6395.0,,365,1.1541238043674427
2004,8952.0,,366,1.3998436278342454
2005,6480.0,,365,0.7238605898123325
2006,4529.0,,365,0.6989197530864197
2007,7834.0,,365,1.7297416648266726
2008,5181.0,,366,0.6613479703854991
2009,6204.0,,365,1.197452229299363
2010,7288.0,,365,1.1747259832366215
2011,2007.0,,365,0.27538419319429197
2012,4407.0,,366,2.195814648729447
2013,5198.0,,362,1.1794871794871795
2014,3079.0,,365,0.5923432089265102
2015,4743.0,,365,1.5404352062357909
2016,7638.0,,366,1.6103731815306768
2017,3639.0,,274,0.47643362136684997
2018,6274.0,,273,1.7241000274800768
2019,4732.0,,365,0.7542237806821804
2020,5923.0,,366,1.2516906170752324
2021,3616.0,,365,0.6105014350835725
2022,3709.0,,365,1.0257190265486726
2023,5170.0,,365,1.3939067133998382
