DATE,PRCP,TMAX,NROWS,MULT
2000,9239.0,,366,1.0
2001,8670.0,,365,0.9384132481870332
2002,10461.0,,365,1.2065743944636678
2003,12060.0,,334,1.1528534556925725
2004,14425.0,,366,1.1961028192371477
2005,10740.0,,365,0.7445407279029462
2006,9914.0,,365,0.9230912476722533
2007,10101.0,,365,1.018862215049425
2008,10991.0,,366,1.088110088110088
2009,9972.0,,365,0.907287780911655
2010,10757.0,,365,1.0787204171680707
2011,14444.0,,365,1.3427535558241146
2012,10298.0,,366,0.712960398781501
2013,8631.0,,365,0.838123907554865
2014,9714.0,,365,1.1254779283976364
2015,10728.0,,365,1.1043854231006793
2016,9769.0,,366,0.9106077554064131
2017,11710.0,,365,1.1986897328283346
2018,17245.0,,365,1.47267292912041
2019,11733.0,,365,0.6803711220643665
2020,9872.0,,366,0.8413875394187335
2021,11163.0,,364,1.1307739059967585
2022,10734.0,,365,0.9615694705724268
2023,10300.0,,365,0.9595677287125023
