DATE,PRCP,TMIN,NROWS,MULT
2000,9201.0,,366,1.0
2001,10370.0,,365,1.1270514074557114
2002,8684.0,,365,0.8374156219864995
2003,6879.0,,365,0.7921464762782128
2004,9067.0,,366,1.318069486844018
2005,7549.0,,365,0.8325796845704202
2006,7846.0,,365,1.039342959332362
2007,11518.0,,365,1.4680091766505226
2008,9514.0,,256,0.8260114603229728
2009,7272.0,,334,0.764347277696027
2010,12320.0,,365,1.694169416941694
2011,8078.0,,365,0.6556818181818181
2012,7040.0,,366,0.8715028472394157
2013,9370.0,,365,1.3309659090909092
2014,9073.0,,364,0.9683030949839915
2015,9346.0,,365,1.0300892758734708
2016,11962.0,,366,1.2799058420714744
2017,10807.0,,364,0.9034442400936298
2018,12335.0,,356,1.1413898399185713
2019,11463.0,,358,0.9293068504256181
2020,7638.0,,364,0.6663177178749019
2021,6448.0,,330,0.8442000523697303
2022,4973.0,,287,0.7712468982630273
2023,3778.0,,297,0.7597023929217775
