DATE,PRCP,TMAX,NROWS,MULT
2000,5971.0,,366,1.0
2001,3968.0,,363,0.664545302294423
2002,3089.0,,341,0.7784778225806451
2003,5177.0,,365,1.6759469083845904
2004,4100.0,,366,0.7919644581804134
2005,4584.0,,365,1.118048780487805
2006,3403.0,,365,0.7423647469458988
2007,4563.0,23.11111111111111,365,1.3408756979136056
2008,3607.0,,366,0.7904887135656367
2009,3982.0,,365,1.1039645134460772
2010,9294.0,,341,2.334003013561025
2011,7148.0,,238,0.7690983430170002
2012,4052.0,,120,0.5668718522663683
2013,4490.0,,216,1.1080947680157947
2014,3094.0,,145,0.6890868596881959
2015,3180.0,,306,1.0277957336780865
2016,4283.0,,140,1.3468553459119497
2017,4508.0,,182,1.0525332710716788
2018,3287.0,,204,0.729148181011535
2019,2344.0,,283,0.7131122604198357
2020,2620.0,,208,1.1177474402730376
2021,5140.0,,348,1.9618320610687023
2022,7304.0,,324,1.421011673151751
2023,5044.0,,277,0.6905805038335159
