DATE,PRCP,NROWS,MULT
2000,13190.0,361,1.0
2001,17058.0,364,1.2932524639878695
2002,12304.0,365,0.7213037870793763
2003,17102.0,365,1.3899544863459037
2004,15048.0,364,0.879897088059876
2005,17508.0,364,1.1634768740031898
2006,16882.0,361,0.9642449166095499
2007,13068.0,364,0.7740789006041938
2008,24014.0,365,1.8376186103458831
2009,25136.0,365,1.0467227450653784
2010,24512.0,365,0.9751750477402928
2011,20186.0,365,0.8235150130548303
2012,20502.0,366,1.0156544139502626
2013,26416.0,365,1.288459662471954
2014,14870.0,365,0.562916414294367
2015,20720.0,365,1.3934095494283794
2016,18014.0,364,0.8694015444015444
2017,23936.0,362,1.3287443099811258
2018,16359.0,362,0.6834475267379679
2019,8818.0,364,0.5390305030869857
2020,22886.0,364,2.5953731004762983
2021,21324.0,361,0.9317486673075243
2022,39586.0,365,1.856405927593322
2023,13286.0,363,0.3356237053503764
