DATE,PRCP,NROWS
1950,29.0,1
1951,8847.0,365
1952,8071.0,366
1953,5907.0,365
1954,8494.0,365
1955,5781.0,365
1956,7043.0,366
1957,8473.0,365
1958,7428.0,365
1959,5603.0,365
1960,8487.0,366
1961,9032.0,365
1962,7535.0,365
1963,7439.0,365
1964,6578.0,366
1965,8809.0,365
1966,9781.0,365
1967,8909.0,365
1968,8127.0,366
1969,7056.0,365
1970,6943.0,365
1971,5936.0,365
1972,6862.0,366
1973,8151.0,365
1974,7991.0,365
1975,6360.0,365
1976,5091.0,366
1977,7605.0,365
1978,7403.0,365
1979,9082.0,365
1980,7831.0,366
1981,8812.0,365
1982,7620.0,365
1983,9023.0,365
1984,8701.0,366
1985,7997.0,365
1986,8033.0,365
1987,10026.0,365
1988,10226.0,366
1989,6710.0,365
1990,8109.0,365
1991,6880.0,365
1992,9567.0,366
1993,9356.0,365
1994,10716.0,365
1995,7602.0,365
1996,6220.0,366
1997,6988.0,365
1998,12860.0,365
1999,10187.0,365
2000,10830.0,366
2001,10188.0,365
2002,9297.0,365
2003,6758.0,365
2004,10136.0,366
2005,9308.0,365
2006,9004.0,365
2007,10062.0,365
2008,9325.0,366
2009,8123.0,365
2010,9186.0,365
2011,8219.0,365
2012,10876.0,366
2013,7989.0,365
2014,8408.0,365
2015,9723.0,365
2016,8864.0,366
2017,10397.0,365
2018,6902.0,365
2019,10319.0,365
2020,9349.0,366
2021,9012.0,330
2022,8041.0,365
2023,12463.0,365
2024,6621.0,225
