DATE,PRCP,NROWS
1969,2223,304
1970,1569,215
1971,130,88
1972,2332,122
1973,5995,365
1974,7160,365
1975,4925,365
1976,3843,366
1977,5757,334
1978,4548,365
1979,7268,365
1980,6209,366
1981,7649,365
1982,4409,365
1983,5869,365
1984,5301,366
1985,5116,365
1986,5944,365
1987,4801,365
1988,6219,366
1989,5196,365
1990,5499,365
1991,5177,365
1992,5919,366
1993,5925,365
1994,4385,365
1995,4741,365
1996,5339,366
1997,5136,365
1998,7075,365
1999,4874,365
2000,6412,366
2001,6662,365
2002,5354,365
2003,3563,335
2004,5473,366
2005,5308,365
2006,5146,365
2007,6592,365
2008,6257,366
2009,4981,365
2010,5404,365
2011,6168,365
2012,6867,366
2013,5537,352
2014,5253,351
2015,7381,365
2016,6478,361
2017,6361,365
2018,5422,361
2019,5848,358
2020,7880,366
2021,6350,365
2022,6008,365
2023,7402,365
2024,4634,244
