DATE,PRCP,NROWS
1980,21211,366
1981,15047,365
1982,19087,365
1983,13576,365
1984,15747,366
1985,17094,365
1986,20744,365
1987,14703,365
1988,17100,366
1989,18071,365
1990,17496,365
1991,13850,365
1992,14053,366
1993,13572,365
1994,16488,365
1995,16132,365
1996,25819,366
1997,23558,365
1998,11688,365
1999,27027,317
2000,23012,366
2001,24468,365
2002,22178,365
2003,15163,365
2004,18394,366
2005,22875,365
2006,13833,365
2007,24767,365
2008,28155,366
2009,19809,365
2010,18735,365
2011,24608,365
2012,22980,366
2013,21590,365
2014,13585,365
2015,11765,365
2016,17530,366
2017,11110,168
2018,16550,308
2019,22095,365
2020,24410,366
2021,28435,365
2022,16865,218
