DATE,PRCP,NROWS
1945,6860,365
1946,6801,365
1947,3522,365
1948,4906,366
1949,5764,365
1950,6708,365
1951,5907,365
1952,6173,366
1953,4498,365
1954,6934,365
1955,4509,365
1956,4121,366
1957,5100,365
1958,6382,365
1959,3918,365
1960,7588,366
1961,5007,365
1962,5617,365
1963,6274,365
1964,4095,366
1965,4697,365
1966,6290,365
1967,6124,365
1968,5695,366
1969,4381,365
1970,4638,365
1971,4110,365
1972,4165,366
1973,5151,365
1974,5888,365
1975,3846,365
1976,3643,366
1977,4838,365
1978,5022,365
1979,4768,365
1980,5579,366
1981,6105,365
1982,4947,365
1983,5362,365
1984,5752,366
1985,5902,365
1986,4822,334
1987,5496,365
1988,6073,366
1989,3319,185
1990,5167,365
1991,4452,335
1992,4965,366
1993,6567,365
1994,7393,365
1995,5692,365
1996,4208,366
1997,5025,365
1998,6725,365
1999,6429,365
2000,5311,366
2001,6193,365
2002,6775,365
2003,4731,365
2004,6722,366
2005,4450,365
2006,6837,365
2007,7870,365
2008,5540,366
2009,5149,365
2010,7734,365
2011,6644,365
2012,4802,366
2013,5696,365
2014,7024,365
2015,6365,365
2016,6073,366
2017,6761,365
2018,4227,365
2019,5945,365
2020,5423,366
2021,5692,365
2022,4559,365
2023,7743,365
2024,3992,244
