DATE,PRCP,TMAX,NROWS,MULT
1950,6871.0,,276,1.0
1951,14251.0,,327,2.07407946441566
1952,12110.0,,366,0.8497649287769279
1953,18113.0,,365,1.4957060280759702
1954,13637.0,,365,0.7528846684701596
1955,5110.0,,146,0.3747158465938256
1956,10066.0,,365,1.9698630136986301
1957,13963.0,,356,1.3871448440294059
1958,11015.0,,365,0.7888705865501683
1959,16161.0,,365,1.4671811166591013
1960,14385.0,,366,0.890105810284017
1961,9538.0,,365,0.6630517900590893
1962,8841.0,,365,0.9269238834137136
1963,9873.0,,365,1.1167288768238888
1964,8747.0,,336,0.8859515851311658
1965,8897.0,,273,1.017148736709729
1966,10257.0,,273,1.152860514780263
1967,7310.0,,334,0.7126840206688115
1968,9019.0,,366,1.2337893296853626
1969,12350.0,,365,1.3693314114646857
1970,7659.0,,365,0.6201619433198381
1971,10710.0,,365,1.398354876615746
1972,11405.0,,366,1.0648926237161531
1973,11321.0,,365,0.9926348092941693
1974,12336.0,,365,1.0896563907781998
1975,12234.0,,334,0.9917315175097277
1976,14655.0,,366,1.1978911230995586
1977,9975.0,,365,0.6806550665301945
1978,11875.0,,365,1.1904761904761905
1979,11242.0,,334,0.9466947368421053
1980,8786.0,,366,0.7815335349581924
1981,10324.0,,365,1.1750512178465742
1982,16945.0,,335,1.6413211933359164
1983,12851.0,,365,0.7583948067276483
1984,12005.0,,366,0.9341685471947708
1985,11439.0,,365,0.9528529779258642
1986,11975.0,,365,1.0468572427659761
1987,13110.0,,364,1.0947807933194154
1988,10257.0,,366,0.7823798627002289
1989,12417.0,,365,1.2105878911962562
1990,10962.0,,365,0.882821937666103
1991,13560.0,,365,1.237000547345375
1992,12874.0,,366,0.949410029498525
1993,13641.0,,365,1.059577442908187
1994,13637.0,,365,0.9997067663661022
1995,13096.0,,365,0.9603285180024932
1996,8232.0,,366,0.628588882101405
1997,14721.0,,365,1.788265306122449
1998,12116.0,,365,0.8230419129135249
1999,14388.0,,365,1.1875206338725652
2000,7509.0,,366,0.5218932443703086
2001,10484.0,,365,1.3961912371820482
2002,15089.0,,365,1.4392407478061808
2003,12568.0,,365,0.8329246470939095
2004,11500.0,,366,0.91502227880331
2005,12612.0,,365,1.096695652173913
2006,7855.0,,365,0.6228195369489375
2007,11396.0,,365,1.4507956715467856
2008,10860.0,,366,0.952965952965953
2009,9627.0,,365,0.88646408839779
2010,11429.0,,365,1.1871818842837851
2011,9391.0,,364,0.8216816869367398
2012,12168.0,,366,1.2957086572250027
2013,12950.0,,364,1.064266929651545
2014,14819.0,,363,1.1443243243243244
2015,14437.0,,306,0.974222282205277
2016,14812.0,,366,1.0259749255385469
2017,15794.0,,365,1.0662975965433432
2018,14947.0,,365,0.9463720400151956
2019,12508.0,,365,0.8368234428313374
2020,14329.0,,366,1.1455868244323633
