DATE,PRCP,NROWS,MULT
1950,11561.0,365,1.0
1951,12800.0,365,1.1071706599775106
1952,14520.0,366,1.134375
1953,12724.0,365,0.8763085399449035
1954,7565.0,365,0.5945457403332285
1955,12885.0,365,1.7032385988103107
1956,12175.0,366,0.9448971672487388
1957,11371.0,365,0.9339630390143737
1958,12461.0,365,1.095857884091109
1959,10777.0,365,0.8648583580772009
1960,12199.0,366,1.1319476663264358
1961,10633.0,365,0.871628822034593
1962,9168.0,365,0.8622213862503527
1963,9041.0,365,0.9861474694589878
1964,9990.0,366,1.1049662647937175
1965,8407.0,365,0.8415415415415416
1966,8917.0,365,1.0606637326037827
1967,11076.0,365,1.2421217898396322
1968,10014.0,366,0.9041170097508126
1969,10103.0,365,1.0088875574196126
1970,11529.0,365,1.1411461941997427
1971,13072.0,365,1.1338364125249372
1972,13998.0,366,1.0708384332925336
1973,11235.0,365,0.8026146592370339
1974,10818.0,365,0.9628838451268358
1975,13992.0,365,1.293399889073766
1976,9615.0,366,0.6871783876500858
1977,10744.0,365,1.117420696827873
1978,10677.0,365,0.9937639612807149
1979,13940.0,365,1.3056101901283133
1980,7943.0,366,0.5697991391678623
1981,8799.0,365,1.1077678459020521
1982,9684.0,347,1.1005796113194681
1983,14994.0,365,1.5483271375464684
1984,12590.0,366,0.8396692010137389
1985,10743.0,365,0.8532962668784749
1986,9180.0,365,0.8545099134320022
1987,11517.0,365,1.2545751633986928
1988,10434.0,366,0.905965095076843
1989,13558.0,365,1.2994057887674908
1990,12430.0,364,0.9168018881840979
1991,8910.0,365,0.7168141592920354
1992,10188.0,334,1.1434343434343435
1993,13438.0,365,1.3190027483313702
1994,11500.0,365,0.8557821104331002
1995,11637.0,365,1.0119130434782608
1996,15835.0,366,1.3607458967087738
1997,8022.0,365,0.5065993053362804
1998,12181.0,365,1.518449264522563
1999,10589.0,334,0.8693046547902471
2000,10568.0,366,0.998016809897063
2001,7563.0,365,0.7156510219530658
2002,10942.0,365,1.446780378156816
2003,15221.0,365,1.3910619630780479
2004,14066.0,366,0.924117994875501
2005,13820.0,365,0.9825110194795962
2006,12856.0,365,0.9302460202604921
2007,11099.0,365,0.863332296204107
2008,11921.0,366,1.0740607261915487
2009,13486.0,365,1.1312809328076503
2010,10920.0,365,0.8097286074447575
2011,15813.0,365,1.448076923076923
2012,11132.0,366,0.7039777398343136
2013,12953.0,365,1.1635824649658641
2014,12108.0,365,0.9347641473017834
2015,12208.0,365,1.0082590023125206
2016,10447.0,366,0.8557503276539974
2017,9990.0,365,0.9562553843208577
2018,19272.0,365,1.929129129129129
2019,12545.0,365,0.6509443752594437
2020,13026.0,366,1.038341968911917
