DATE,PRCP,NROWS
1960,7,1
1961,6623,365
1962,6086,365
1963,6382,365
1964,4637,366
1965,6444,365
1966,7230,365
1967,7449,365
1968,6271,366
1969,5770,365
1970,6915,365
1971,5408,365
1972,5391,366
1973,6077,365
1974,6242,365
1975,4714,365
1976,4445,366
1977,5764,365
1978,5717,365
1979,5792,335
1980,7681,366
1981,7336,365
1982,5992,365
1983,6527,365
1984,6486,366
1985,7221,365
1986,5933,365
1987,6441,365
1988,6430,366
1989,5270,365
1990,5534,365
1991,5835,336
1992,5447,366
1993,7089,365
1994,7962,365
1995,6259,365
1996,4339,366
1997,5548,365
1998,7646,365
1999,6532,365
2000,5811,366
2001,6474,365
2002,7824,365
2003,5691,364
2004,6952,366
2005,5024,365
2006,6790,365
2007,8053,365
2008,6508,366
2009,5674,365
2010,6695,365
2011,7989,365
2012,6362,365
2013,5507,365
2014,8506,365
2015,7384,365
2016,5991,366
2017,8391,365
2018,4867,365
2019,7562,365
2020,6187,366
