DATE,PRCP,TMAX,TMIN,NROWS
1931,11559.0,86.26301369863013,25.545205479452054,365
1932,11286.0,99.68579234972678,22.35792349726776,366
1933,9214.0,93.1945205479452,15.021917808219179,365
1934,8876.0,112.16712328767123,36.92054794520548,365
1935,13544.0,93.18356164383562,21.21917808219178,365
1936,11621.0,94.89617486338798,28.314207650273225,366
1937,12044.0,95.40821917808219,30.5013698630137,365
1938,12267.0,97.42465753424658,31.835616438356166,365
1939,14064.0,91.73150684931507,27.753424657534246,365
1940,13916.0,95.23426573426573,24.447552447552447,366
1941,14487.0,86.59718309859154,16.219718309859154,365
1942,11230.0,88.83835616438355,13.306849315068494,365
1943,11054.0,105.32753623188405,29.60289855072464,365
1944,15250.0,94.76536312849161,31.891061452513966,366
1946,5252.0,104.82065217391305,41.65760869565217,184
1947,13931.0,100.38630136986302,25.39178082191781,365
1948,12629.0,106.37978142076503,37.994535519125684,366
1949,11445.0,110.61369863013698,37.46027397260274,365
1950,14017.0,97.91780821917808,31.602739726027398,365
1951,12051.0,100.98904109589041,33.827397260273976,365
1952,13486.0,86.6120218579235,22.78688524590164,366
1953,8701.0,112.3890410958904,39.701369863013696,365
1954,15060.0,89.69041095890411,23.90958904109589,365
1955,13707.0,90.69589041095891,21.39178082191781,365
1956,15745.0,82.56830601092896,13.92896174863388,366
1957,13731.0,100.58356164383562,31.854794520547944,365
1958,14244.0,92.14794520547945,27.70958904109589,365
1959,6618.0,118.74794520547945,33.92876712328767,365
1960,13026.0,95.91803278688525,30.349726775956285,366
1961,15749.0,103.02465753424657,33.93150684931507,365
1962,13080.0,80.24383561643836,15.336986301369864,365
1963,9838.0,89.56986301369864,16.345205479452055,365
1964,9361.0,95.81147540983606,23.718579234972676,366
1965,15258.0,85.56438356164384,19.383561643835616,365
1966,14911.0,94.53150684931506,30.95068493150685,365
1967,15071.0,100.03561643835616,34.19178082191781,365
1968,9953.0,92.22677595628416,27.371584699453553,366
1969,11391.0,90.64931506849315,23.545205479452054,365
1970,16745.0,86.42739726027398,22.87945205479452,365
1971,8164.0,101.66575342465754,30.646575342465752,365
1972,9229.0,92.93715846994536,25.94535519125683,366
1973,11143.0,95.78082191780823,28.92876712328767,365
1974,14899.0,96.65479452054795,34.5972602739726,365
1975,9012.0,105.88493150684931,36.673972602739724,365
1976,9396.0,97.64480874316939,27.42622950819672,366
1977,12988.0,96.03287671232877,33.26575342465753,365
1978,13275.0,87.76164383561644,25.257534246575343,365
1979,10722.0,86.6082191780822,22.03013698630137,365
1980,15003.0,84.84972677595628,21.661202185792348,366
1981,18445.0,91.15342465753425,25.676712328767124,365
1982,10343.0,109.93424657534247,34.44931506849315,365
1983,13000.0,105.52054794520548,33.90684931506849,365
1984,13027.0,89.11748633879782,25.581967213114755,366
1985,11371.0,87.00821917808219,19.413698630136988,365
1986,15478.0,89.81917808219178,21.07945205479452,365
1987,13366.0,83.96986301369863,15.978082191780821,365
1988,14906.0,98.47540983606558,32.90163934426229,366
1989,10426.0,116.27123287671233,39.67123287671233,365
1990,13619.0,106.67671232876712,38.4027397260274,365
1991,10620.0,98.66575342465754,26.446575342465753,365
1992,13573.0,106.96174863387978,34.69125683060109,366
1993,15852.0,99.44109589041096,25.895890410958906,365
1994,17158.0,108.03013698630137,35.6986301369863,365
1995,13751.0,100.3013698630137,28.55068493150685,365
1996,9296.0,82.73224043715847,12.704918032786885,366
1997,12908.0,103.4931506849315,28.93972602739726,365
1998,17708.0,98.87671232876713,33.035616438356165,365
1999,13287.0,105.12430939226519,36.270718232044196,363
2000,12794.0,107.39650145772595,39.4,347
2001,17170.0,97.55847953216374,29.932551319648095,356
2002,17005.0,104.72268907563026,35.792717086834735,357
2003,11212.0,113.28374655647383,30.013774104683197,364
2004,15248.0,100.58356164383562,29.473972602739725,366
2005,13211.0,105.51862464183381,30.638968481375358,362
2006,13072.0,114.46005509641873,37.853994490358126,365
2007,20183.0,111.30410958904109,39.57808219178082,365
2008,13564.0,105.18032786885246,36.549180327868854,366
2009,11702.0,104.96712328767123,33.02191780821918,365
2010,10538.0,89.52054794520548,17.915068493150685,365
2011,10542.0,117.6027397260274,36.8986301369863,365
2012,11416.0,103.5846994535519,31.398907103825138,366
2013,11270.0,96.66301369863014,26.471232876712328,365
2014,11424.0,117.43561643835616,46.175342465753424,365
2015,13128.0,113.2027397260274,37.945205479452056,365
2016,10446.0,110.2568306010929,38.10382513661202,366
2017,15915.0,107.94794520547946,38.298630136986304,365
2018,9132.0,123.22465753424657,42.87123287671233,365
2019,12278.0,119.91232876712328,42.87397260273973,365
2020,12094.0,119.83333333333333,43.822404371584696,366
2021,9323.0,105.41095890410959,35.054794520547944,365
2022,10993.0,124.38082191780822,45.797260273972604,365
2023,17753.0,118.61917808219178,47.3013698630137,365
2024,9568.0,137.46311475409837,58.84836065573771,244
