DATE,PRCP,TMAX,NROWS
1954,8845.0,,318
1955,9215.0,,365
1956,10219.0,,366
1957,6197.0,,304
1958,4271.0,,242
1959,9049.0,,362
1960,5693.0,,357
1961,8169.0,,363
1962,7168.0,,359
1963,6265.0,,336
1964,7589.0,,335
1965,8172.0,,364
1966,8398.0,,365
1967,9095.0,,334
1968,7789.0,,364
1969,8187.0,,365
1970,8974.0,-178.0,355
1971,6969.0,,362
1972,9575.0,,355
1973,8446.0,,365
1974,8692.0,,365
1975,8981.0,,361
1976,10551.0,,366
1977,11630.0,,365
1978,8324.0,,365
1979,8353.0,,356
1980,7732.0,,356
1981,9344.0,,334
1982,9167.0,,365
1983,7512.0,,365
1984,11415.0,,366
1985,9580.0,,365
1986,11629.0,,365
1987,9020.0,,365
1988,8276.0,,366
1989,11058.0,,365
1990,11543.0,,365
1991,7942.0,,365
1992,10623.0,,366
1993,8220.0,,334
1994,10598.0,,365
1995,6696.0,,245
1996,11535.0,,366
1997,12039.0,,365
1998,9616.0,,365
1999,8592.0,,365
2000,11384.0,,366
2001,7996.0,,365
2002,12274.0,,364
2003,12141.0,,365
2004,11497.0,,366
2005,10247.0,,364
2006,12375.0,,365
2007,10549.0,,365
2008,10516.0,,366
2009,11964.0,,365
2010,11115.0,,365
2011,13667.0,,365
2012,10042.0,,331
2013,9489.0,,364
2014,9359.0,,355
2015,9796.0,,359
2016,9079.0,,366
2017,12218.0,,364
2018,11513.0,,365
2019,10239.0,,364
2020,9312.0,,360
2021,11036.0,,365
2022,9643.0,,365
2023,8377.0,,365
2024,7365.0,,297
