DATE,PRCP,TMIN,NROWS
1948,6596.0,,214
1949,10892.0,,365
1950,11023.0,,365
1951,13495.0,,365
1952,14046.0,,366
1953,14915.0,,365
1954,13460.0,,364
1955,16394.0,,365
1956,11729.0,,366
1957,9697.0,,363
1958,14127.0,,365
1959,13720.0,,365
1960,12445.0,,366
1961,11469.0,,364
1962,10538.0,,365
1963,10093.0,,365
1964,9539.0,,366
1965,8462.0,,365
1966,9746.0,78.64516129032258,365
1967,11577.0,,365
1968,11834.0,,366
1969,14316.0,,365
1970,11580.0,,365
1971,11793.0,,329
1972,12217.0,,305
1973,13532.0,,365
1974,13677.0,,365
1975,14245.0,,365
1976,11997.0,,366
1977,13676.0,,365
1978,13390.0,,365
1979,11366.0,,365
1980,9443.0,,366
1981,8336.0,,365
1982,11565.0,,362
1983,11590.0,,360
1984,12692.0,,366
1985,9637.0,,365
1986,9553.0,,363
1987,11908.0,,365
1988,10743.0,,366
1989,14969.0,,359
1990,11207.0,,354
1991,9209.0,,363
1992,9273.0,,364
1993,10153.0,,330
1994,13264.0,,355
1995,9343.0,,302
1996,15522.0,,364
1997,11632.0,,360
1998,13030.0,,365
1999,13538.0,,365
2000,12604.0,,365
2001,9655.0,,365
2002,13178.0,,364
2003,14028.0,,363
2004,1844.0,,91
2005,8302.0,,330
2006,12796.0,,331
2007,11226.0,,365
2008,12361.0,,274
2012,5368.0,,190
2013,7015.0,,249
2014,7312.0,,250
2015,5947.0,,249
2016,3684.0,,247
2017,6482.0,,247
2018,13481.0,,316
2019,13539.0,,344
2020,11939.0,,358
2021,13295.0,,365
2022,11561.0,,365
2023,17753.0,,365
2024,13183.0,,243
