DATE,PRCP,TMAX,NROWS
1961,11403.0,,306
1962,8903.0,,365
1963,5417.0,,365
1964,7987.0,,366
1965,10665.0,,365
1966,5194.0,,365
1967,12449.0,,365
1968,9038.0,,366
1969,11878.0,,365
1970,8040.0,,365
1971,9171.0,,365
1972,8937.0,,366
1973,14555.0,,365
1974,8980.0,,365
1975,7695.0,,365
1976,5926.0,,366
1977,12733.0,,365
1978,6432.0,-178.0,365
1979,7459.0,,335
1980,6811.0,,366
1981,9929.0,,365
1982,9254.0,,363
1983,9266.0,,365
1984,9661.0,,337
1985,11864.0,,365
1986,12006.0,,364
1987,9498.0,,365
1988,4668.0,,366
1989,7502.0,,365
1990,7312.0,,350
1991,3917.0,,243
1992,10014.0,,363
1993,12706.0,,365
1994,8804.0,,364
1995,2461.0,,120
1996,8503.0,,275
1997,8366.0,,365
1998,10373.0,,365
1999,7970.0,,335
2000,5591.0,,366
2001,9403.0,,365
2002,7723.0,,365
2003,7569.0,,365
2004,10818.0,,366
2005,12583.0,,365
2006,5551.0,,365
2007,9023.0,,365
2008,9800.0,,366
2009,8758.0,,365
2010,10989.0,,365
2011,7066.0,,365
2012,5404.0,,270
2013,7448.0,,334
2014,6713.0,,338
2015,9720.0,,365
2016,10240.0,,365
2017,9517.0,,365
2018,9334.0,,365
2019,12351.0,,364
2020,6658.0,,366
2021,8982.0,,356
2022,8932.0,,365
2023,6416.0,,361
2024,6508.0,,247
