DATE,PRCP,TMAX,NROWS
1948,1137.0,,184
1949,3241.0,,365
1950,4667.0,,364
1951,4833.0,,365
1952,2835.0,,366
1953,5601.0,250.0,365
1954,4030.0,,365
1955,3905.0,,365
1956,2449.0,,366
1957,4224.0,,365
1958,4218.0,,289
1959,3910.0,,365
1960,2241.0,,306
1961,2572.0,,365
1962,4195.0,,334
1963,3304.0,,343
1964,3869.0,,304
1965,5318.0,,364
1966,3499.0,,333
1967,5413.0,,365
1968,5149.0,,364
1969,3827.0,,336
1970,3340.0,,365
1971,2251.0,,229
1972,1942.0,,255
1973,977.0,,89
2011,3719.0,,329
2012,2842.0,,347
2013,2912.0,,242
2014,1339.0,,81
2015,943.0,,28
2016,1292.0,,52
2019,397.0,,11
2020,2475.0,,108
2021,1511.0,,57
2022,1203.0,,91
2023,316.0,,82
2024,457.0,,82
