DATE,PRCP,TMAX,NROWS
1932,9577.0,,366
1933,7084.0,,365
1934,6362.0,,365
1935,8821.0,,365
1936,7443.0,,366
1937,9541.0,,365
1938,8792.0,,365
1939,6653.0,,365
1940,9063.0,,366
1941,7068.0,,365
1942,9779.0,,365
1943,8803.0,,365
1944,8405.0,,366
1945,11777.0,,365
1946,8216.0,,365
1947,9362.0,,365
1948,8909.0,,366
1949,7321.0,,365
1950,10757.0,,365
1951,9587.0,,365
1952,8282.0,,366
1953,8141.0,,365
1954,8253.0,,347
1955,9520.0,,365
1956,7909.0,,365
1957,6621.0,,365
1958,9845.0,,364
1959,9464.0,,365
1960,7244.0,,361
1961,8264.0,,362
1962,4546.0,,363
1963,7005.0,,365
1964,6642.0,,365
1965,6236.0,,361
1966,6758.0,,343
1967,7664.0,,358
1968,8578.0,,357
1969,7957.0,,348
1970,9207.0,,346
1971,7496.0,-178.0,351
1972,9601.0,,350
1973,7287.0,,353
1974,7495.0,,350
1975,8923.0,,349
1976,9751.0,,344
1977,9459.0,,349
1978,5973.0,,352
1979,9026.0,,365
1980,6796.0,,359
1981,7943.0,,346
1982,7245.0,,353
1983,6936.0,,343
1984,7755.0,,359
1985,7979.0,,347
1986,9074.0,,359
1987,8064.0,,354
1988,5724.0,,347
1989,9203.0,,355
1990,10117.0,,348
1991,6197.0,,334
1992,9089.0,,277
1993,8514.0,,340
1994,8485.0,,360
1995,7766.0,,365
1996,10035.0,,366
1997,6897.0,,351
1998,7997.0,,365
1999,8351.0,,365
2000,8318.0,,366
2001,7709.0,,365
2002,7555.0,,335
2003,8412.0,,365
2004,9161.0,,334
2005,11642.0,,364
2006,10750.0,,365
2007,9778.0,,364
2008,10324.0,,366
2009,8333.0,,364
2010,9131.0,,365
2011,10296.0,,302
2012,7933.0,,322
2013,9416.0,,316
2014,8270.0,,321
2015,8823.0,,309
2016,8517.0,,331
2017,9288.0,,329
2018,9815.0,,319
2019,9295.0,,314
2020,6579.0,,290
2021,9911.0,,287
2022,7404.0,,296
2023,7860.0,,302
2024,6498.0,,275
