DATE,PRCP,TMAX,NROWS
1916,402.0,,92
1917,5009.0,,335
1918,4641.0,,365
1919,7888.0,,365
1920,6588.0,,366
1921,5870.0,,365
1922,5396.0,,365
1923,8622.0,,365
1924,7941.0,,366
1925,6406.0,,365
1926,7246.0,,365
1927,6859.0,,365
1928,7317.0,,366
1929,5643.0,,365
1930,6641.0,,365
1931,7001.0,,365
1932,8538.0,,366
1933,6223.0,,346
1934,3937.0,,310
1935,7424.0,,365
1936,2770.0,,316
1937,5249.0,,365
1938,5943.0,,313
1939,2981.0,,275
1940,3664.0,377.27272727272725,275
1941,6328.0,,365
1942,7180.0,,365
1943,5720.0,,364
1944,8918.0,,366
1945,8176.0,,365
1946,7409.0,,365
1947,6350.0,,365
1948,5804.0,,365
1949,7002.0,,365
1950,6335.0,,365
1951,8709.0,,365
1952,7910.0,,366
1953,5004.0,,334
1954,6979.0,,365
1955,3306.0,,364
1956,4845.0,,366
1957,9290.0,,365
1958,6146.0,,365
1959,7448.0,,365
1960,6471.0,,365
1961,7188.0,,365
1962,6413.0,,365
1963,6269.0,,365
1964,6249.0,,366
1965,8286.0,,365
1966,3923.0,,364
1967,7357.0,,365
1968,7097.0,,366
1969,8219.0,,365
1970,5603.0,,365
1971,5495.0,,365
1972,6804.0,,366
1973,9692.0,,365
1974,3900.0,,365
1975,6095.0,,365
1976,4406.0,,335
1977,7805.0,,365
1978,5617.0,,365
1979,6100.0,,365
1980,5422.0,,366
1981,6798.0,,365
1982,9279.0,,364
1983,8365.0,,364
1984,9219.0,,364
1985,7691.0,,362
1986,8098.0,,364
1987,7299.0,,365
1988,4956.0,,349
1989,5682.0,,365
1990,6728.0,,365
1991,6468.0,,364
1992,9430.0,,366
1993,8836.0,,272
1994,6362.0,,365
1995,5492.0,,365
1996,8169.0,,366
1997,7025.0,,365
1998,7669.0,,365
1999,7848.0,,365
2000,6209.0,,366
2001,6173.0,,362
2002,5829.0,,365
2003,6605.0,,365
2004,6566.0,,366
2005,6443.0,,365
2006,7448.0,,365
2007,9055.0,,364
2008,10262.0,,366
2009,6613.0,,365
2010,6845.0,,365
2011,7586.0,,365
2012,4466.0,,366
2013,7406.0,,365
2014,8475.0,,365
2015,10151.0,,365
2016,7160.0,,365
2017,8470.0,,365
2018,8528.0,,365
2019,9192.0,,365
2020,6058.0,,366
2021,7195.0,,365
2022,5382.0,,365
2023,5181.0,,365
2024,5042.0,,288
