DATE,PRCP,TMAX,NROWS
1963,4596.0,,280
1964,8610.0,,366
1965,10886.0,,365
1966,6443.0,,365
1967,6850.0,,365
1968,11480.0,,366
1969,9386.0,,365
1970,6697.0,,365
1971,8551.0,,365
1972,10168.0,,366
1973,10276.0,,365
1974,11133.0,,365
1975,10139.0,,365
1976,11194.0,,366
1977,7258.0,-161.0,365
1978,7379.0,,365
1979,9809.0,,365
1980,8459.0,,366
1981,11363.0,,365
1982,5248.0,,335
1983,6452.0,,348
1984,6177.0,,366
1985,8910.0,,365
1986,7520.0,,365
1987,8245.0,,365
1988,3184.0,,340
1989,7101.0,,365
1990,7551.0,,365
1991,11066.0,,365
1992,11521.0,,366
1993,8811.0,,365
1994,10285.0,,365
1995,5987.0,,335
1996,5965.0,,366
1997,13147.0,,365
1998,11254.0,,365
1999,5507.0,,334
2000,8970.0,,366
2001,8560.0,,365
2002,8015.0,,365
2003,6679.0,,365
2004,13745.0,,366
2005,7366.0,,365
2006,7951.0,,365
2007,4702.0,,120
2008,1037.0,,122
2009,10163.0,,365
2010,8886.0,,365
2011,5489.0,,337
2012,5517.0,,365
2013,8070.0,,364
2014,5683.0,,365
2015,11558.0,,365
2016,9811.0,,366
2017,8672.0,,365
2018,8491.0,,361
2019,6152.0,,354
2020,7060.0,,305
2021,4146.0,,224
2022,15.0,,62
