DATE,PRCP,TMAX,NROWS
1929,10.0,,31
1930,4370.0,,243
1931,5136.0,,365
1932,3299.0,,366
1933,4143.0,,334
1934,6014.0,,365
1935,3085.0,,365
1936,5403.0,,274
1937,5199.0,,275
1938,7402.0,,335
1939,3327.0,,243
1940,5863.0,,274
1941,8351.0,,305
1942,2028.0,,334
1943,7730.0,,242
1944,5038.0,,304
1945,4311.0,,365
1946,4452.0,,365
1947,1909.0,,365
1948,2916.0,,366
1949,1883.0,,364
1950,2545.0,,365
1951,4318.0,,365
1952,6808.0,,366
1953,1567.0,,365
1954,2661.0,,365
1955,2830.0,,365
1956,3476.0,,366
1957,5861.0,,365
1958,5761.0,,331
1959,2584.0,,365
1960,2738.0,,366
1961,1885.0,,365
1962,3749.0,,365
1963,3475.0,,365
1964,2169.0,,306
1965,6644.0,,365
1966,3402.0,,365
1967,5116.0,,365
1968,2578.0,,366
1969,7687.0,,365
1970,4594.0,,365
1971,3116.0,,365
1972,1733.0,,366
1973,4396.0,233.0,365
1974,4769.0,,365
1975,2539.0,,365
1976,3161.0,,366
1977,4876.0,,365
1978,10522.0,,365
1979,4885.0,,335
1980,8430.0,,305
1981,3643.0,,365
1982,6165.0,,365
1983,9729.0,,365
1984,3008.0,,366
1985,2608.0,,365
1986,4895.0,,365
1987,4327.0,,336
1988,4198.0,,366
1989,1754.0,,365
1990,2554.0,,365
1991,5796.0,,365
1992,6838.0,,366
1993,7509.0,,365
1994,2816.0,,365
1995,7245.0,,365
1996,6025.0,,366
1997,3819.0,,365
1998,7361.0,,303
1999,1203.0,,365
2000,3359.0,,244
2004,5641.0,,366
2005,6768.0,,365
2006,3197.0,,365
2007,1831.0,,365
2008,4148.0,,366
2009,3121.0,,365
2010,6323.0,,365
2011,3094.0,,365
2012,2787.0,,366
2013,971.0,,364
2014,2410.0,,365
2015,1572.0,,363
2016,3442.0,,366
2017,3834.0,,365
2018,2985.0,,364
2019,6329.0,,364
2020,2094.0,,365
2021,2684.0,,361
2022,1826.0,,365
2023,6552.0,,365
2024,4167.0,,243
