DATE,PRCP,TMAX,NROWS
1889,5474.0,,365
1890,8264.0,,365
1891,6942.0,,364
1892,7282.0,,365
1893,5545.0,,348
1894,6536.0,,365
1895,3996.0,,180
1903,4721.0,,214
1904,1041.0,,214
1905,7392.0,,306
1906,9157.0,,365
1907,6651.0,,344
1908,6587.0,,340
1909,4954.0,,212
1910,3272.0,,214
1911,4724.0,,153
1912,4762.0,,153
1913,4159.0,,153
1914,4851.0,,153
1915,4502.0,,153
1916,4661.0,,153
1917,3373.0,,136
1918,4360.0,,153
1919,4549.0,,137
1920,3994.0,,153
1921,4024.0,,107
1922,4786.0,,152
1923,4587.0,,153
1924,3804.0,,153
1925,4024.0,,151
1926,4031.0,,153
1927,3590.0,,152
1928,3843.0,,153
1929,3320.0,,153
1930,4199.0,,136
1931,3230.0,,137
1932,2763.0,,153
1933,269.0,,31
1948,2082.0,,153
1949,6921.0,,362
1950,6079.0,,356
1951,7754.0,,272
2000,5948.0,,181
2001,10267.0,,363
2002,10665.0,,326
2003,6414.0,,348
2004,1886.0,,121
2005,7536.0,,365
2006,7293.0,,365
2007,7546.0,,364
2008,6989.0,,366
2009,6514.0,,354
2010,10623.0,,363
2011,8229.0,,364
2012,7100.0,-178.0,364
2013,9663.0,,364
2014,10901.0,,365
2015,10835.0,,365
2016,10991.0,,366
2017,9663.0,,365
2018,8743.0,,365
2019,11710.0,,365
2020,8082.0,,366
2021,8631.0,,365
2022,7947.0,,365
2023,8086.0,,365
2024,7706.0,,296
