DATE,PRCP,TMIN,NROWS
1974,1816.0,,62
1975,2168.0,,120
1976,755.0,,34
1978,3997.0,,129
1979,6934.0,,191
1980,2479.0,,92
1981,4687.0,,212
1982,2860.0,,120
1983,8681.0,,282
1984,5170.0,,306
1985,11026.0,-135.6,209
1986,1004.0,,119
1987,5639.0,,161
1988,2743.0,,99
1989,1947.0,,67
1990,3353.0,,70
1991,983.0,,62
1992,3812.0,,97
1993,11437.0,,365
1994,9391.0,,365
2011,6356.0,,154
2012,5399.0,,86
2013,9489.0,,101
2014,7359.0,,76
2015,10609.0,,67
2016,9694.0,,288
2017,8746.0,,365
2018,10553.0,,336
2019,921.0,,59
2023,1860.0,,91
2024,4276.0,,145
