DATE,PRCP,TMAX,NROWS
1959,3893.0,,334
1960,3400.0,,335
1961,7370.0,,365
1962,2673.0,,338
1963,4154.0,,365
1964,2490.0,,182
1965,5224.0,378.0,304
1966,5250.0,,337
1967,5568.0,,334
1968,6600.0,,366
1969,5835.0,,365
1970,2980.0,,273
1971,6616.0,,334
1972,7027.0,,366
1973,5459.0,,365
1974,8499.0,,365
1975,5439.0,,365
1976,5694.0,,366
1977,4568.0,,365
1978,4083.0,,365
1979,4912.0,,365
1980,6111.0,,366
1981,7390.0,,365
1982,6039.0,,364
1983,4473.0,,365
1984,4409.0,,366
1985,3951.0,,365
1986,11588.0,,365
1987,8335.0,,365
1988,4220.0,,365
1989,5310.0,,365
1990,6752.0,,365
1991,7970.0,,365
1992,6805.0,,366
1993,4430.0,,365
1994,4945.0,,365
1995,5382.0,,365
1996,6442.0,,365
1997,6368.0,,365
1998,3585.0,,365
1999,3618.0,,365
2000,3933.0,,366
2001,4379.0,,365
2002,5541.0,,365
2003,6395.0,,365
2004,8952.0,,366
2005,6480.0,,365
2006,4529.0,,365
2007,7834.0,,365
2008,5181.0,,366
2009,6204.0,,365
2010,7288.0,,365
2011,2007.0,,365
2012,4407.0,,366
2013,5198.0,,362
2014,3079.0,,365
2015,4743.0,,365
2016,7638.0,,366
2017,3639.0,,274
2018,6274.0,,273
2019,4732.0,,365
2020,5923.0,,366
2021,3616.0,,365
2022,3709.0,,365
2023,5170.0,,365
2024,5379.0,,249
