DATE,PRCP,TMAX,NROWS
1973,18121.0,,275
1974,17784.0,-178.0,365
1975,19113.0,,365
1976,14939.0,,366
1977,17365.0,,365
1978,10693.0,,365
1979,22002.0,,365
1980,14849.0,,366
1981,13513.0,,365
1982,17880.0,,365
1983,18261.0,,364
1984,20349.0,,366
1985,20154.0,,365
1986,15016.0,,365
1987,13706.0,,365
1988,14347.0,,366
1989,16018.0,,365
1990,13408.0,,365
1991,19375.0,,365
1992,15468.0,,366
1993,14767.0,,365
1994,17614.0,,365
1995,20920.0,,365
1996,13301.0,,366
1997,17726.0,,365
1998,17819.0,,365
1999,13238.0,,365
2000,11372.0,,366
2001,19055.0,,365
2002,20495.0,,365
2003,14479.0,,365
2004,20931.0,,366
2005,13251.0,,334
2006,14485.0,,365
2007,14367.0,,365
2008,13801.0,,335
2009,17812.0,,365
2010,10027.0,,365
2011,9661.0,,92
2012,17203.0,,137
2013,15568.0,,256
2014,14792.0,,266
2015,17440.0,,243
2016,13319.0,,220
2017,19014.0,,172
2018,15350.0,,137
2019,17617.0,,105
2020,16607.0,,165
2021,16484.0,,125
2022,16273.0,,115
2023,12847.0,,117
2024,13913.0,,135
