DATE,PRCP,NROWS
1987,5523,185
1988,10975,366
1989,6747,365
1990,9881,365
1991,8432,365
1992,8259,366
1993,8377,365
1994,10196,365
1995,7761,365
1996,5660,366
1997,8155,365
1998,10813,365
1999,10845,365
2000,8064,366
2001,8408,365
2002,10021,365
2003,6694,365
2004,9790,366
2005,7928,365
2006,7895,365
2007,9948,365
2008,9083,366
2009,9754,365
2010,8365,365
2011,9282,365
2012,9101,366
2013,9221,365
2014,11865,365
2015,10682,365
2016,9237,366
2017,10909,365
2018,7034,365
2019,11399,365
2020,9084,366
