DATE,PRCP,NROWS
1978,19507.0,184
1979,32372.0,365
1980,37513.0,366
1981,30897.0,365
1982,29320.0,334
1983,17469.0,365
1984,27398.0,366
1985,31336.0,365
1986,29723.0,365
1987,23021.0,365
1988,23208.0,366
1989,25584.0,334
1990,34676.0,365
1991,28022.0,334
1992,23854.0,335
1993,19910.0,365
1994,23543.0,365
1995,23573.0,365
1996,30874.0,366
1997,25595.0,365
1998,13264.0,365
1999,14495.0,365
2000,10921.0,366
2001,19075.0,335
2002,14525.0,365
2003,12675.0,365
2004,18262.0,366
2005,11149.0,365
2006,13574.0,334
2007,15677.0,334
2008,13063.0,336
2009,19245.0,365
2010,13879.0,365
2011,16902.0,233
2012,11039.0,128
2024,21128.0,262
