DATE,PRCP,TMAX,NROWS,MULT
1950,10757.0,,365,1.0
1951,9587.0,,365,0.8912336153202566
1952,8282.0,,366,0.863878168352978
1953,8141.0,,365,0.9829751267809708
1954,8253.0,,347,1.0137575236457437
1955,9520.0,,365,1.1535199321458864
1956,7909.0,,365,0.8307773109243698
1957,6621.0,,365,0.8371475534201542
1958,9845.0,,364,1.486935508231385
1959,9464.0,,365,0.9613001523616048
1960,7244.0,,361,0.7654268808114962
1961,8264.0,,362,1.1408061844284925
1962,4546.0,,363,0.5500968054211036
1963,7005.0,,365,1.5409150901891773
1964,6642.0,,365,0.9481798715203427
1965,6236.0,,361,0.9388738331827763
1966,6758.0,,343,1.083707504810776
1967,7664.0,,358,1.134063332346848
1968,8578.0,,357,1.119258872651357
1969,7957.0,,348,0.9276055024481231
1970,9207.0,,346,1.1570943823048887
1971,7496.0,-178.0,351,0.8141631367437819
1972,9601.0,,350,1.2808164354322304
1973,7287.0,,353,0.7589834392250807
1974,7495.0,,350,1.0285439824344724
1975,8923.0,,349,1.190527018012008
1976,9751.0,,344,1.092793903395719
1977,9459.0,,349,0.9700543533996513
1978,5973.0,,352,0.6314620995876943
1979,9026.0,,365,1.5111334337853675
1980,6796.0,,359,0.7529359627742078
1981,7943.0,,346,1.1687757504414362
1982,7245.0,,353,0.9121238826639808
1983,6936.0,,343,0.9573498964803313
1984,7755.0,,359,1.1180795847750864
1985,7979.0,,347,1.0288845905867183
1986,9074.0,,359,1.137235242511593
1987,8064.0,,354,0.8886929689221953
1988,5724.0,,347,0.7098214285714286
1989,9203.0,,355,1.6077917540181692
1990,10117.0,,348,1.09931544061719
1991,6197.0,,334,0.6125333596916082
1992,9089.0,,277,1.4666774245602712
1993,8514.0,,340,0.9367367147100891
1994,8485.0,,360,0.9965938454310548
1995,7766.0,,365,0.9152622274602239
1996,10035.0,,366,1.29217100180273
1997,6897.0,,351,0.6872944693572496
1998,7997.0,,365,1.1594896331738438
1999,8351.0,,365,1.0442665999749907
2000,8318.0,,366,0.9960483774398275
2001,7709.0,,365,0.9267852849242606
2002,7555.0,,335,0.9800233493319497
2003,8412.0,,365,1.11343481138319
2004,9161.0,,334,1.0890394674274846
2005,11642.0,,364,1.270821962667831
2006,10750.0,,365,0.9233808623947776
2007,9778.0,,364,0.9095813953488372
2008,10324.0,,366,1.0558396400081815
2009,8333.0,,364,0.8071483920960868
2010,9131.0,,365,1.095763830553222
2011,10296.0,,302,1.1275873398313438
2012,7933.0,,322,0.7704933954933955
2013,9416.0,,316,1.1869406277574688
2014,8270.0,,321,0.8782922684791844
2015,8823.0,,309,1.0668681983071342
2016,8517.0,,331,0.9653179190751445
2017,9288.0,,329,1.090524832687566
2018,9815.0,,319,1.056739879414298
2019,9295.0,,314,0.9470198675496688
2020,6579.0,,290,0.7077998924152771
