DATE,PRCP,TMIN,NROWS,MULT
1950,3864.0,,243,1.0
1951,6435.0,,328,1.6653726708074534
1952,6735.0,,366,1.0466200466200466
1953,6732.0,,365,0.999554565701559
1954,8086.0,,365,1.201128936423054
1955,5862.0,,365,0.7249567153104131
1956,5645.0,,366,0.9629819174343227
1957,6552.0,,335,1.1606731620903454
1958,6268.0,,365,0.9566544566544567
1959,7116.0,,365,1.135290363752393
1960,6415.0,,364,0.9014896008993817
1961,7260.0,,364,1.1317225253312548
1962,7134.0,,365,0.9826446280991735
1963,6793.0,,365,0.9522007289038408
1964,8821.0,,366,1.298542617400265
1965,10226.0,,365,1.159278993311416
1966,7342.0,,365,0.7179737922941521
1967,8615.0,,365,1.173385998365568
1968,10831.0,,366,1.257225769007545
1969,7174.0,,304,0.6623580463484443
1970,8773.0,,365,1.2228882074156677
1971,8931.0,,365,1.0180098028040578
1972,9601.0,,366,1.0750195946702497
1973,7574.0,,365,0.7888761587334653
1974,6118.0,,334,0.8077634011090573
1975,7850.0,,365,1.2830990519777705
1976,5441.0,-28.0,366,0.6931210191082803
1977,8510.0,,365,1.564050725969491
1978,8683.0,,365,1.0203290246768508
1979,10102.0,,365,1.1634227801451111
1980,10323.0,,366,1.0218768560681053
1981,8970.0,,365,0.8689334495786109
1982,10674.0,,364,1.1899665551839465
1983,8898.0,,365,0.8336143901068016
1984,9528.0,,366,1.0708024275118004
1985,8572.0,,334,0.899664147774979
1986,9111.0,,362,1.062879141390574
1987,6390.0,,365,0.7013500164636154
1988,5391.0,,366,0.8436619718309859
1989,5795.0,,365,1.0749397143387127
1990,8891.0,,365,1.534253666954271
1991,9539.0,,365,1.0728826903610393
1992,8389.0,,366,0.8794422895481707
1993,9142.0,,365,1.0897604005244963
1994,7297.0,,365,0.7981842047691972
1995,7522.0,,365,1.0308345895573523
1996,8104.0,,366,1.0773730390853495
1997,6892.0,,365,0.8504442250740375
1998,6977.0,,365,1.0123331398723157
1999,7423.0,,365,1.0639243227748316
2000,7069.0,,366,0.952310386636131
2001,7798.0,,365,1.1031263262130429
2002,10387.0,,365,1.3320082072326238
2003,5493.0,,365,0.5288341195725426
2004,7428.0,,366,1.3522665210267613
2005,5513.0,,365,0.7421917070543887
2006,6750.0,,365,1.2243787411572646
2007,6825.0,,365,1.011111111111111
2008,6050.0,,366,0.8864468864468864
2009,6146.0,,365,1.0158677685950412
2010,9328.0,,365,1.517735112268142
2011,7982.0,,364,0.8557032590051458
2012,6035.0,,334,0.7560761713856177
2013,9490.0,,365,1.572493786246893
2014,8867.0,,365,0.9343519494204425
2015,8518.0,,365,0.9606405774219015
2016,8772.0,,366,1.0298192063864757
2017,8779.0,,365,1.0007979936160512
2018,8781.0,,365,1.0002278163799978
2019,10845.0,,365,1.2350529552442775
2020,7520.0,,366,0.6934071000461042
