DATE,PRCP,TMIN,NROWS,MULT
1950,7728.0,,365,1.0
1951,5960.0,,365,0.7712215320910973
1952,3206.0,,366,0.5379194630872484
1953,5677.0,,365,1.7707423580786026
1954,3292.0,,365,0.579883741412718
1955,6629.0,,365,2.0136695018226
1956,3056.0,,366,0.46100467642178306
1957,7386.0,189.0,365,2.4168848167539267
1958,6061.0,,365,0.8206065529379908
1959,8686.0,,365,1.4330968487048341
1960,7589.0,,366,0.8737048123416993
1961,6454.0,,365,0.8504414283831861
1962,6079.0,,365,0.9418964982956306
1963,5462.0,,365,0.8985030432636947
1964,7000.0,,366,1.281581838154522
1965,8559.0,,365,1.2227142857142856
1966,5388.0,,365,0.6295127935506485
1967,5009.0,,365,0.9296585003711952
1968,7627.0,,366,1.5226592134158514
1969,6167.0,,365,0.8085748000524453
1970,3976.0,,365,0.64472190692395
1971,5893.0,,365,1.4821428571428572
1972,6431.0,,335,1.0912947564907518
1973,6439.0,,365,1.0012439744985229
1974,7770.0,,365,1.2067091163224104
1975,8213.0,,365,1.057014157014157
1976,4949.0,,366,0.602581273590649
1977,7113.0,,365,1.4372600525358659
1978,6019.0,,365,0.846197103894278
1979,4742.0,,334,0.787838511380628
1980,4426.0,,366,0.9333614508646141
1981,7032.0,,365,1.588793492995933
1982,7459.0,,365,1.0607224118316267
1983,7044.0,,365,0.9443625150824507
1984,4557.0,,366,0.6469335604770017
1985,7953.0,,365,1.7452271231073075
1986,11932.0,,365,1.5003143467873759
1987,6718.0,,334,0.5630238015420718
1988,7415.0,,304,1.1037511164036915
1989,6636.0,,365,0.8949426837491571
1990,6839.0,,365,1.030590717299578
1991,7097.0,,365,1.0377248135692352
1992,5942.0,,336,0.8372551782443286
1993,7916.0,,365,1.3322113766408616
1994,5733.0,,365,0.7242294087923193
1995,8966.0,,365,1.5639281353567067
1996,7484.0,,366,0.8347089002899843
1997,11420.0,,365,1.5259219668626403
1998,5768.0,,365,0.5050788091068301
1999,5987.0,,365,1.0379680998613037
2000,6301.0,,366,1.0524469684316018
2001,5918.0,,365,0.9392159974607205
2002,5892.0,,365,0.995606623859412
2003,2237.0,,211,0.3796673455532926
2004,8168.0,,366,3.651318730442557
2005,6541.0,,365,0.8008080313418218
2006,7244.0,,365,1.1074759211129797
2007,7270.0,,365,1.003589177250138
2008,6838.0,,366,0.9405777166437415
2009,7015.0,,365,1.0258847616262066
2010,4995.0,,362,0.7120456165359943
2011,3547.0,,365,0.7101101101101102
2012,5693.0,,365,1.6050183253453623
2013,4525.0,,365,0.794835763217987
2014,4193.0,,361,0.9266298342541437
2015,9593.0,,365,2.2878607202480326
2016,6437.0,,365,0.6710101115396644
2017,7315.0,,365,1.1363989436072706
2018,7527.0,,365,1.0289815447710184
2019,7058.0,,273,0.9376909791417564
2020,1238.0,,10,0.1754037971096628
