Name,News,VAAC,Total
Sakurajima,68,846,914
Dukono,83,333,416
Sinabung,83,205,288
Raung,35,222,257
Manam,31,73,104
Colima,88,2,90
Shiveluch,77,0,77
Karymsky,72,0,72
Batu Tara,27,43,70
Kilauea,61,0,61
Fuego,61,0,61
Soputan,23,34,57
Shishaldin,57,0,57
Bagana,16,40,56
Zhupanovsky,48,0,48
Piton de la Fournaise,46,0,46
Etna,45,0,45
Cotopaxi,43,0,43
Klyuchevskoy,38,0,38
Aso,34,2,36
Popocatépetl,36,0,36
Gamalama,10,23,33
Tungurahua,33,0,33
Karangetang,32,0,32
Ubinas,32,0,32
Nevado del Ruiz,31,0,31
Chirpoi,30,0,30
Barren Island,13,17,30
Villarrica,28,0,28
Reventador,26,0,26
Chirinkotan,25,0,25
Cleveland,23,0,23
Turrialba,23,0,23
Pacaya,22,0,22
Santiaguito,22,0,22
Bardarbunga,19,0,19
Rinjani,17,0,17
Calbuco,17,0,17
Suwanose-jima,16,0,16
Lokon-Empung,15,1,16
Sangeang Api,7,8,15
Telica,15,0,15
Kuchinoerabu-jima,14,0,14
Bromo,14,0,14
Copahue,14,0,14
Bulusan,11,0,11
Sabancaya,10,0,10
Hakone,9,0,9
Ambrym,9,0,9
Sangay,9,0,9
Fogo,9,0,9
Concepción,9,0,9
Sirung,3,6,9
Nishino-shima,9,0,9
Semeru,9,0,9
Wolf,9,0,9
Momotombo,8,0,8
Canlaon,8,0,8
Chikurachki,8,0,8
Hunga Tonga-Hunga Ha'apai,8,0,8
Lewotobi,6,0,6
Papandayan,6,0,6
Kerinci,5,0,5
Krakatau,5,0,5
Stromboli,5,0,5
Veniaminof,5,0,5
Ruapehu,5,0,5
Alaid,4,0,4
Asama,4,0,4
San Miguel,4,0,4
Guallatiri,4,0,4
Ibu,4,0,4
Yasur,4,0,4
Sinarka,4,0,4
San Cristobal,4,0,4
Tongariro,4,0,4
Slamet,4,0,4
Semisopochnoi,4,0,4
Axial Seamount,3,0,3
Maunaloa,3,0,3
Paluweh,3,0,3
Una Una,3,0,3
Gamkonora,3,0,3
Awu,3,0,3
Grímsvötn,3,0,3
Masaya,3,0,3
Michael,3,0,3
Dempo,3,0,3
Merapi,1,2,3
Marapi,3,0,3
Erta Ale,3,0,3
Ruang,3,0,3
Meru,2,0,2
Heard,2,0,2
Egon,2,0,2
Ngauruhoe,2,0,2
Medvezhia,2,0,2
Kirishima,2,0,2
Ontake-san,2,0,2
Chaitén,2,0,2
Kick 'em Jenny,2,0,2
Lascar,2,0,2
Cerro Negro de Mayasquer,2,0,2
Ciremai,1,1,2
White Island,2,0,2
Tangkubanparahu,1,0,1
Dallol,1,0,1
Soufriere Hills,1,0,1
Talang,1,0,1
Mount Olympus,1,0,1
Okataina (Tarawera),1,0,1
Zao,1,0,1
Tupungatito,1,0,1
Hekla,1,0,1
Guagua Pichincha,1,0,1
Askja,1,0,1
Ijen,1,0,1
Sunset Crater,1,0,1
Akan,1,0,1
Nevados de Chillán,1,0,1
