Name,News,VAAC,Total
Sabancaya,23,1284,1307
Fuego,30,1174,1204
Reventador,20,832,852
Semeru,49,774,823
Popocatépetl,29,760,789
Dukono,46,715,761
Lewotobi,83,672,755
Sangay,23,674,697
Ibu,59,622,681
Santiaguito,29,538,567
Nevado del Ruiz,18,538,556
Marapi,49,294,343
Suwanose-jima,42,297,339
Shiveluch,55,206,261
Sakurajima,46,170,216
White Island,29,173,202
Svartsengi,156,10,166
Ebeko,48,103,151
Karymsky,24,122,146
Lewotolo,40,97,137
Ruang,18,106,124
Etna,58,51,109
Merapi,51,31,82
Stromboli,60,12,72
Bezymianny,15,54,69
Canlaon,27,39,66
Nyamuragira,18,44,62
Manam,12,46,58
Great Sitkin,43,0,43
Poas,15,23,38
Ubinas,12,24,36
Kilauea,34,0,34
Taal,26,3,29
Aoba,9,19,28
Fernandina,27,0,27
Villarrica,15,10,25
Ambrym,8,16,24
Klyuchevskoy,5,18,23
Barren Island,3,12,15
Mayon,7,6,13
Erta Ale,13,0,13
Langila,3,9,12
Home Reef,9,2,11
Yasur,11,0,11
Rincón de la Vieja,10,0,10
Ahyi,10,0,10
Shishaldin,8,1,9
Bagana,3,6,9
Katmai,1,8,9
Puracé,9,0,9
Spurr,9,0,9
Copahue,3,6,9
Ruapehu,7,0,7
Dempo,5,2,7
Nyiragongo,6,0,6
Katla,6,0,6
Iya,6,0,6
Tofua,5,1,6
Kavachi,6,0,6
Bulusan,5,0,5
White Island,5,0,5
Gareloi,5,0,5
Campi Flegrei (Phlegrean Fields),5,0,5
Grímsvötn,5,0,5
Concepción,2,3,5
Ijen,4,0,4
Iwo-jima,4,0,4
Cotopaxi,2,2,4
Masaya,4,0,4
El Misti,4,0,4
Tinakula,4,0,4
Karangetang,4,0,4
San Cristobal,2,2,4
Alaid,2,2,4
Atka,4,0,4
Kikai,2,2,4
Kelimutu,3,0,3
Gamalama,3,0,3
Nishino-shima,3,0,3
Ulawun,2,1,3
Metis Shoal (Lateiki),3,0,3
Matthew Island,1,2,3
Cleveland,2,0,2
Sumisujima,2,0,2
Tungurahua,2,0,2
Inielika,2,0,2
Kerinci,1,1,2
Kuchinoerabu-jima,2,0,2
Heard,2,0,2
Kanaga,2,0,2
Awu,2,0,2
Suoh,2,0,2
Huaynaputina,2,0,2
Abu,0,2,2
Puyehue-Cordón Caulle,2,0,2
Trident,1,0,1
Tenerife,1,0,1
Paluweh,1,0,1
Lokon-Empung,1,0,1
Rabaul (Tavurvur),1,0,1
Loihi,1,0,1
Slamet,1,0,1
Cerro Hudson,1,0,1
Terceira,1,0,1
Fantale,1,0,1
Krakatau,1,0,1
Mount Adams,1,0,1
Bardarbunga,1,0,1
Soufrière St. Vincent,1,0,1
Vesuvius,1,0,1
Aso,1,0,1
Medvezhia,1,0,1
Piton de la Fournaise,1,0,1
Pacaya,1,0,1
Machin,1,0,1
Askja,1,0,1
Yellowstone,1,0,1
Iwate,1,0,1
