Name,News,VAAC,Total
Shiveluch,56,0,56
Kilauea,55,0,55
Chaitén,50,0,50
Sakurajima,49,0,49
Rabaul (Tavurvur),46,0,46
Suwanose-jima,38,0,38
Karymsky,38,0,38
Batu Tara,37,0,37
Dukono,34,0,34
Soufriere Hills,33,0,33
Redoubt,32,0,32
Tungurahua,30,0,30
Klyuchevskoy,27,0,27
Galeras,26,0,26
Fuego,22,0,22
Santiaguito,21,0,21
Popocatépetl,20,0,20
Nevado del Huila,17,0,17
Ubinas,16,0,16
Koryaksky,15,0,15
Ebeko,15,0,15
Barren Island,14,0,14
Mayon,14,0,14
Krakatau,13,0,13
Reventador,13,0,13
Pacaya,12,0,12
Bagana,12,0,12
Sangay,11,0,11
Llaima,11,0,11
Sarychev Peak,10,0,10
Slamet,9,0,9
Etna,8,0,8
Colima,8,0,8
Arenal,8,0,8
Asama,7,0,7
Piton de la Fournaise,7,0,7
Karangetang,6,0,6
San Cristobal,5,0,5
Cleveland,5,0,5
Kizimen,5,0,5
Rinjani,5,0,5
Manam,4,0,4
Shishaldin,4,0,4
Gaua,4,0,4
Turrialba,3,0,3
Bezymianny,3,0,3
San Miguel,3,0,3
Langila,3,0,3
Pagan,3,0,3
Fernandina,3,0,3
Semeru,3,0,3
Okmok,3,0,3
Stromboli,3,0,3
Dieng,3,0,3
Ambrym,2,0,2
Hunga Tonga-Hunga Ha'apai,2,0,2
Yasur,2,0,2
Ibu,2,0,2
Batur,2,0,2
Manda Hararo,2,0,2
Poas,2,0,2
Veniaminof,2,0,2
Makian,2,0,2
Nyamuragira,2,0,2
Nyiragongo,2,0,2
Kerinci,1,0,1
Egon,1,0,1
Karkar,1,0,1
San Vicente,1,0,1
Kaba,1,0,1
Lewotobi,1,0,1
Sakar,1,0,1
Kolokol,1,0,1
Canlaon,1,0,1
Talang,1,0,1
Kuchinoerabu-jima,1,0,1
Miyake-shima,1,0,1
Guagua Pichincha,1,0,1
NW Rota-1,1,0,1
Gamkonora,1,0,1
Paluweh,1,0,1
Kelud,1,0,1
Sangeang Api,1,0,1
Gorely,1,0,1
Ulawun,1,0,1
West Mata,1,0,1
Callaqui,1,0,1
Nevados de Chillán,1,0,1
Dempo,1,0,1
Concepción,1,0,1
