Name,News,VAAC,Total
Shiveluch,55,0,55
Klyuchevskoy,53,0,53
Kilauea,53,0,53
Karymsky,52,0,52
Sakurajima,49,0,49
Soufriere Hills,46,0,46
Eyafjallajökull,46,0,46
Tungurahua,33,0,33
Dukono,32,0,32
Batu Tara,27,0,27
Suwanose-jima,27,0,27
Merapi,26,0,26
Santiaguito,23,0,23
Fuego,21,0,21
Pacaya,20,0,20
Sangay,15,0,15
Ulawun,15,0,15
Gaua,15,0,15
Chaitén,13,0,13
Bagana,12,0,12
Reventador,12,0,12
Piton de la Fournaise,12,0,12
Popocatépetl,12,0,12
Arenal,12,0,12
Cleveland,12,0,12
Planchón-Peteroa,11,0,11
Sinabung,11,0,11
Pagan,10,0,10
Bezymianny,9,0,9
Turrialba,9,0,9
Manam,9,0,9
Bulusan,9,0,9
Gorely,9,0,9
Etna,8,0,8
Nevado del Huila,8,0,8
Bromo,8,0,8
Stromboli,8,0,8
Yasur,8,0,8
Kizimen,7,0,7
Villarrica,7,0,7
Karangetang,6,0,6
Krakatau,6,0,6
Llaima,6,0,6
Tiatia,5,0,5
Sarychev Peak,5,0,5
Poas,5,0,5
Nyamuragira,5,0,5
Rabaul (Tavurvur),5,0,5
Rinjani,4,0,4
Ambrym,4,0,4
Erta Ale,4,0,4
Kirishima,4,0,4
San Cristobal,4,0,4
Machin,4,0,4
Ekarma,3,0,3
Semeru,3,0,3
Miyake-shima,3,0,3
Barren Island,3,0,3
Colima,3,0,3
Galeras,3,0,3
Redoubt,3,0,3
Ol Doinyo Lengai,2,0,2
Nevado del Ruiz,2,0,2
Ebeko,2,0,2
Taal,2,0,2
South Sarigan Seamount,2,0,2
Talang,2,0,2
Concepción,2,0,2
Grímsvötn,2,0,2
Mayon,2,0,2
Nyiragongo,2,0,2
San Miguel,1,0,1
Seulawah Agam,1,0,1
Ubinas,1,0,1
Batur,1,0,1
Iwo-jima,1,0,1
Kharimkotan,1,0,1
Melimoyu,1,0,1
Alaid,1,0,1
Canlaon,1,0,1
Aoba,1,0,1
Ketoi,1,0,1
Tangkubanparahu,1,0,1
Tangkoko,1,0,1
Egon,1,0,1
Maunaloa,1,0,1
Kavachi,1,0,1
Santorini,1,0,1
Fukutoku-Okanoba,1,0,1
Novarupta,1,0,1
