Name,News,VAAC,Total
Kilauea,64,0,64
Shiveluch,61,0,61
Soufriere Hills,57,0,57
Tungurahua,53,0,53
Rabaul (Tavurvur),52,0,52
Chaitén,47,0,47
Karymsky,44,0,44
Ubinas,39,0,39
Batu Tara,30,0,30
Santiaguito,27,0,27
Llaima,25,0,25
Fuego,24,0,24
Nevado del Huila,22,0,22
Popocatépetl,22,0,22
Sakurajima,21,0,21
Suwanose-jima,21,0,21
Piton de la Fournaise,18,0,18
Klyuchevskoy,17,0,17
Semeru,17,0,17
Cleveland,17,0,17
Etna,16,0,16
Anatahan,16,0,16
Colima,16,0,16
Dukono,15,0,15
Ol Doinyo Lengai,15,0,15
Krakatau,14,0,14
Okmok,14,0,14
Pacaya,13,0,13
Manam,12,0,12
Galeras,11,0,11
Bagana,11,0,11
Reventador,10,0,10
Mount St. Helens,9,0,9
Kasatochi,9,0,9
Masaya,8,0,8
Soputan,7,0,7
Chikurachki,7,0,7
Garbuna,6,0,6
Bezymianny,6,0,6
Arenal,6,0,6
Dalafilla,5,0,5
San Cristobal,4,0,4
Turrialba,4,0,4
Akan,4,0,4
Cerro Azul,4,0,4
Nyiragongo,4,0,4
Barren Island,4,0,4
Kerinci,3,0,3
Veniaminof,3,0,3
Machin,3,0,3
Karangetang,3,0,3
Sangay,3,0,3
Redoubt,3,0,3
Koryaksky,3,0,3
Gorely,3,0,3
Mutnovsky,3,0,3
Asama,2,0,2
Ibu,2,0,2
Shishaldin,2,0,2
Papandayan,2,0,2
Egon,2,0,2
Canlaon,2,0,2
Avachinsky,2,0,2
Ulawun,2,0,2
Mayon,1,0,1
Sumbing,1,0,1
Ruapehu,1,0,1
Galunggung,1,0,1
Kirishima,1,0,1
Villarrica,1,0,1
White Island,1,0,1
Taal,1,0,1
Tongariro,1,0,1
Kuchinoerabu-jima,1,0,1
Erta Ale,1,0,1
Lewotobi,1,0,1
Gamkonora,1,0,1
Nyamuragira,1,0,1
Santorini,1,0,1
Bulusan,1,0,1
Poas,1,0,1
Stromboli,1,0,1
Callaqui,1,0,1
Lokon-Empung,1,0,1
Merapi,1,0,1
Planchón-Peteroa,1,0,1
Svartsengi,1,0,1
Karkar,1,0,1
Miyake-shima,1,0,1
Guagua Pichincha,1,0,1
Lopevi,1,0,1
Balbi,1,0,1
Gamalama,1,0,1
Dempo,1,0,1
