Name,News,VAAC,Total
Kilauea,64,0,64
Karymsky,53,0,53
Shiveluch,53,0,53
Sakurajima,52,0,52
Kizimen,51,0,51
Etna,45,0,45
Puyehue-Cordón Caulle,42,0,42
El Hierro,41,0,41
Dukono,27,0,27
Kirishima,25,0,25
Santiaguito,24,0,24
Fuego,23,0,23
Tungurahua,22,0,22
Popocatépetl,21,0,21
Batu Tara,17,0,17
Cleveland,17,0,17
Bromo,16,0,16
Bulusan,15,0,15
Krakatau,15,0,15
Soufriere Hills,14,0,14
Lokon-Empung,14,0,14
Suwanose-jima,13,0,13
Stromboli,11,0,11
Taal,10,0,10
Nabro,10,0,10
Galeras,10,0,10
Planchón-Peteroa,8,0,8
Karangetang,8,0,8
Poas,8,0,8
Rabaul (Tavurvur),8,0,8
Katla,7,0,7
Bagana,7,0,7
Dieng,7,0,7
Nyamuragira,7,0,7
Aso,7,0,7
Bezymianny,7,0,7
Sangay,7,0,7
Grímsvötn,7,0,7
Klyuchevskoy,6,0,6
Pagan,6,0,6
Merapi,6,0,6
Gamalama,6,0,6
Manam,5,0,5
Soputan,5,0,5
Cerro Hudson,5,0,5
Ulawun,5,0,5
Yasur,4,0,4
Mayon,4,0,4
Ruapehu,4,0,4
Telica,4,0,4
Marapi,4,0,4
Tambora,4,0,4
Sorikmarapi,4,0,4
Ranakah,4,0,4
Jebel Zubair,4,0,4
Ijen,4,0,4
Pacaya,3,0,3
Santorini,3,0,3
San Cristobal,3,0,3
Lewotobi,3,0,3
Villarrica,3,0,3
Gaua,3,0,3
Nyiragongo,3,0,3
Ambrym,2,0,2
Chaitén,2,0,2
Turrialba,2,0,2
Reventador,2,0,2
Sundoro,2,0,2
Aoba,2,0,2
Papandayan,2,0,2
Semeru,2,0,2
Hekla,2,0,2
Tofua,1,0,1
Slamet,1,0,1
Kaba,1,0,1
Gorely,1,0,1
Seulawah Agam,1,0,1
Callaqui,1,0,1
Rincón de la Vieja,1,0,1
Arenal,1,0,1
Ibu,1,0,1
Kolumbo,1,0,1
Paluweh,1,0,1
Egon,1,0,1
Novarupta,1,0,1
Gamkonora,1,0,1
San Miguel,1,0,1
Mount St. Helens,1,0,1
Colima,1,0,1
Öraefajökull,1,0,1
Nevado del Ruiz,1,0,1
Dubbi,1,0,1
Bardarbunga,1,0,1
Lewotolo,1,0,1
