Name,News,VAAC,Total
Dukono,81,707,788
Sakurajima,74,645,719
Sinabung,86,596,682
Shiveluch,85,93,178
Batu Tara,21,149,170
Sangeang Api,14,151,165
Bagana,19,117,136
Bardarbunga,111,1,112
Kilauea,101,0,101
Fuego,94,4,98
Zhupanovsky,51,35,86
Karymsky,45,40,85
Tungurahua,58,26,84
Ubinas,71,12,83
Santiaguito,70,0,70
Etna,69,0,69
Popocatépetl,63,2,65
Shishaldin,64,0,64
Stromboli,61,0,61
Reventador,47,0,47
Slamet,24,21,45
Pacaya,42,1,43
San Miguel,43,0,43
Aso,38,0,38
Chirpoi,35,0,35
Gamalama,4,30,34
Suwanose-jima,29,0,29
Chirinkotan,27,0,27
Mayon,27,0,27
Fogo,26,0,26
Merapi,15,11,26
Nishino-shima,25,0,25
Copahue,22,0,22
Kelud,21,0,21
Colima,18,3,21
Manam,2,18,20
Pavlof,19,0,19
Ontake-san,18,0,18
Sabancaya,17,0,17
Kuchinoerabu-jima,16,0,16
Poas,14,0,14
Cerro Negro de Mayasquer,12,0,12
Bezymianny,12,0,12
Kusatsu-Shirane,12,0,12
Cleveland,10,2,12
Karkar,2,9,11
Turrialba,9,0,9
Nyamuragira,9,0,9
Rabaul (Tavurvur),9,0,9
Barren Island,3,5,8
Semisopochnoi,7,0,7
Lokon-Empung,2,5,7
San Cristobal,7,0,7
Ambrym,7,0,7
Karangetang,6,0,6
Marapi,6,0,6
Sinarka,6,0,6
Piton de la Fournaise,6,0,6
Ahyi,6,0,6
Lewotobi,1,5,6
Nevado del Ruiz,6,0,6
Semeru,5,0,5
Kavachi,5,0,5
Soputan,5,0,5
Ibu,5,0,5
Momotombo,5,0,5
Galeras,4,0,4
Klyuchevskoy,4,0,4
Krakatau,3,1,4
Medvezhia,4,0,4
Heard,4,0,4
Gorely,4,0,4
Ambang,4,0,4
Pagan,4,0,4
Raung,4,0,4
Hunga Tonga-Hunga Ha'apai,3,0,3
Ijen,3,0,3
Hekla,3,0,3
Sotará,3,0,3
Tolbachik,3,0,3
Grímsvötn,3,0,3
Veniaminof,3,0,3
El Misti,3,0,3
Askja,3,0,3
Puyehue-Cordón Caulle,3,0,3
Rincón de la Vieja,2,0,2
Ulawun,2,0,2
Lopevi,2,0,2
Villarrica,2,0,2
White Island,2,0,2
Cumbal,2,0,2
Dieng,2,0,2
Kirishima,2,0,2
Nyiragongo,2,0,2
Bulusan,2,0,2
Katla,2,0,2
El Hierro,2,0,2
Paluweh,2,0,2
Nevado del Huila,2,0,2
Laguna del Maule,1,0,1
Daikoku,1,0,1
Erta Ale,1,0,1
Bromo,1,0,1
Tokachi,1,0,1
Azuma,1,0,1
Zavodovski,1,0,1
Erebus,1,0,1
Ruapehu,1,0,1
Lanzarote,1,0,1
Monowai,1,0,1
Augustine,1,0,1
Sacabaya,1,0,1
Machin,1,0,1
Mammoth Mountain,1,0,1
Marsili Seamount,1,0,1
Vulcano,1,0,1
Tacana,1,0,1
Yellowstone,1,0,1
Tangkubanparahu,1,0,1
