Name,News,VAAC,Total
Sabancaya,25,1526,1551
Popocatépetl,51,1354,1405
Fuego,46,1088,1134
Sangay,29,975,1004
Reventador,31,895,926
Nevado del Ruiz,40,772,812
Semeru,63,708,771
Suwanose-jima,55,606,661
Dukono,29,497,526
Shiveluch,73,431,504
Sakurajima,59,404,463
Mayon,61,390,451
Santiaguito,42,303,345
Ubinas,36,292,328
Cotopaxi,41,252,293
Klyuchevskoy,48,242,290
Ibu,31,247,278
Ebeko,63,141,204
Lewotolo,75,123,198
Krakatau,57,128,185
Shishaldin,62,104,166
Karangetang,45,79,124
Svartsengi,122,2,124
Merapi,73,29,102
Villarrica,66,33,99
Marapi,29,70,99
Bezymianny,20,57,77
Etna,45,25,70
Bagana,12,55,67
Kilauea,63,0,63
Katmai,4,54,58
Great Sitkin,58,0,58
Stromboli,55,1,56
Ulawun,19,35,54
Chikurachki,5,31,36
Kerinci,13,22,35
Aoba,11,19,30
Ahyi,26,0,26
Semisopochnoi,25,0,25
Rincón de la Vieja,23,2,25
Piton de la Fournaise,22,1,23
Yasur,16,5,21
Nyamuragira,18,1,19
Lewotobi,6,13,19
Nishino-shima,10,9,19
Fagradalsfjall,15,2,17
Taal,16,0,16
Aniakchak,10,5,15
Langila,3,10,13
Lascar,9,4,13
Epi,11,1,12
Erta Ale,12,0,12
Iwo-jima,12,0,12
Tanaga,11,0,11
White Island,11,0,11
Manam,0,10,10
Lokon-Empung,10,0,10
Takawangha,9,0,9
Ruapehu,8,0,8
Bulusan,8,0,8
Dempo,6,2,8
San Miguel,7,1,8
Bromo,8,0,8
Cleveland,7,0,7
Kuchinoerabu-jima,7,0,7
Dieng,7,0,7
Home Reef,6,1,7
Campi Flegrei (Phlegrean Fields),6,0,6
Canlaon,5,0,5
Kadovar,1,4,5
Raung,3,2,5
Askja,5,0,5
Kirishima,5,0,5
Nyiragongo,5,0,5
Trident,5,0,5
Ruby,5,0,5
Slamet,5,0,5
Bogoslof,5,0,5
Taupo,4,0,4
Puracé,4,0,4
Tungurahua,1,3,4
Papandayan,4,0,4
Kanaga,3,0,3
Puyehue-Cordón Caulle,0,3,3
Poas,3,0,3
Maunaloa,3,0,3
Iliamna,3,0,3
Kita-Ioto,3,0,3
Ijen,3,0,3
Kaitoku,3,0,3
Aso,3,0,3
Atka,3,0,3
Cerro Negro de Mayasquer,3,0,3
Asama,3,0,3
Tangkubanparahu,3,0,3
Laguna del Maule,3,0,3
Mount St. Helens,3,0,3
Katla,3,0,3
San Cristobal,2,0,2
Kikai,2,0,2
Pavlof,2,0,2
Gamalama,2,0,2
Sinabung,0,2,2
Karymsky,1,1,2
Fukutoku-Okanoba,2,0,2
Descabezado Grande,0,2,2
Ambrym,2,0,2
Huaynaputina,2,0,2
Cerro Bravo,2,0,2
Eldey,2,0,2
Inielika,2,0,2
Barren Island,2,0,2
Alaid,1,0,1
Ollague,0,1,1
Makushin,0,1,1
Mutnovsky,0,1,1
Kizimen,0,1,1
Brava,1,0,1
Wrangell,1,0,1
Nevados de Chillán,1,0,1
Nevado del Huila,1,0,1
Colima,1,0,1
Myojinsho,1,0,1
Soufriere Hills,1,0,1
Suretamatai,1,0,1
Edgecumbe,1,0,1
Torfajökull,1,0,1
Machin,1,0,1
Awu,1,0,1
Tofua,1,0,1
Snaefellsjökull,0,1,1
