Name,News,VAAC,Total
Sakurajima,127,1115,1242
Batu Tara,61,317,378
Popocatépetl,178,131,309
Paluweh,51,236,287
Shiveluch,99,151,250
Sinabung,45,186,231
Tungurahua,82,148,230
Bagana,43,135,178
Fuego,137,30,167
Dukono,28,129,157
Etna,80,74,154
Veniaminof,57,78,135
Manam,47,77,124
Reventador,78,44,122
Santiaguito,115,0,115
Tolbachik,97,2,99
Pacaya,93,4,97
Karymsky,55,35,90
Klyuchevskoy,59,27,86
Stromboli,86,0,86
Kizimen,72,9,81
Copahue,52,29,81
Kilauea,69,0,69
White Island,66,0,66
Nevado del Ruiz,58,0,58
Lokon-Empung,31,24,55
Colima,38,5,43
Rabaul (Tavurvur),40,0,40
Chirpoi,37,0,37
Pavlof,36,0,36
Telica,35,0,35
Chirinkotan,32,0,32
Ulawun,19,13,32
Katmai,2,24,26
San Cristobal,24,0,24
Sabancaya,17,6,23
Suwanose-jima,22,0,22
Ambrym,22,0,22
Galeras,22,0,22
Cleveland,18,2,20
El Hierro,20,0,20
Sangay,11,9,20
Heard,17,1,18
Barren Island,7,10,17
Merapi,10,5,15
Masaya,14,0,14
Karkar,5,9,14
Taal,13,0,13
San Miguel,12,0,12
Soufriere Hills,12,0,12
Nishino-shima,12,0,12
Machin,11,0,11
Gorely,10,0,10
Tangkubanparahu,10,0,10
Tongariro,10,0,10
Cumbal,10,0,10
Yasur,10,0,10
Ubinas,8,1,9
Nyiragongo,9,0,9
Zhupanovsky,3,6,9
Turrialba,9,0,9
Ketoi,9,0,9
Karangetang,8,0,8
Jebel Zubair,8,0,8
Mayon,7,1,8
Sotará,8,0,8
Ruapehu,8,0,8
Tjörnes Fracture Zone,8,0,8
Bezymianny,8,0,8
Momotombo,8,0,8
Poas,7,0,7
Pagan,6,0,6
Grozny,6,0,6
Nevado del Huila,6,0,6
Marapi,4,1,5
Hekla,5,0,5
Sangeang Api,5,0,5
Arenal,5,0,5
Ibu,5,0,5
Dieng,5,0,5
Lascar,4,1,5
Iliamna,5,0,5
Raung,5,0,5
Mammoth Mountain,5,0,5
Concepción,4,0,4
Long Valley,4,0,4
Cotopaxi,4,0,4
Askja,4,0,4
Langila,4,0,4
Gaua,4,0,4
Soputan,4,0,4
Guntur,4,0,4
Kelimutu,4,0,4
Chaitén,3,0,3
Ijen,3,0,3
Maunaloa,3,0,3
Iliwerung,3,0,3
Semeru,2,1,3
Papandayan,3,0,3
Krakatau,3,0,3
Cerro Negro,3,0,3
Gamkonora,3,0,3
Aoba,3,0,3
Villarrica,3,0,3
Little Sitkin,3,0,3
Tanaga,3,0,3
Puyehue-Cordón Caulle,3,0,3
Spurr,3,0,3
Tinakula,3,0,3
Kerinci,2,0,2
Kikai,2,0,2
Douglas,2,0,2
Medvezhia,2,0,2
Nyamuragira,2,0,2
Alaid,2,0,2
Campi Flegrei (Phlegrean Fields),2,0,2
Laguna del Maule,2,0,2
Bardarbunga,2,0,2
Miyake-shima,2,0,2
Tambora,2,0,2
Yellowstone,2,0,2
Erta Ale,2,0,2
Rasshua,2,0,2
Ebulobo,2,0,2
Palena,2,0,2
Colli Albani,2,0,2
Antuco,1,1,2
Kverkfjöll,2,0,2
Rincón de la Vieja,2,0,2
Seulawah Agam,2,0,2
Nevados de Chillán,1,0,1
To-shima,1,0,1
Shikotsu,1,0,1
Lewotobi,1,0,1
Svartsengi,1,0,1
Aso,1,0,1
Llaima,1,0,1
Akita-Yake-yama,1,0,1
Descabezado Grande,1,0,1
Tori-shima,1,0,1
Kirishima,1,0,1
Avachinsky,1,0,1
Hachijo-jima,1,0,1
Churchill,1,0,1
Puracé,1,0,1
Hakone,1,0,1
Sacabaya,1,0,1
Salton Buttes,1,0,1
Torfajökull,1,0,1
Tahalra Volcanic Field,1,0,1
Krafla,1,0,1
Mt Fuji,1,0,1
Santorini,1,0,1
Newberry,1,0,1
Mount St. Helens,1,0,1
Agrigan,1,0,1
Milos,1,0,1
San Salvador,1,0,1
Michael,1,0,1
Lassen,1,0,1
Makushin,1,0,1
Iwo-jima,1,0,1
Redoubt,1,0,1
Akutan,1,0,1
Io-Torishima,1,0,1
Ol Doinyo Lengai,1,0,1
San Diego,1,0,1
Fernandina,0,1,1
