Monthly mean sea levels with the average seasonal cycle removed.
The values are in meters relative to the most recent Mean Sea Level datum established by CO-OPS.
Column values are the Year; Month; Monthly Mean; Relative Sea Level Trend Line; Higher 95% Confidence Interval; and Lower 95% Confidence Interval.
Product of NOAAs National Ocean Service / Center for Operational Oceanographic Products and Services (CO-OPS)

Year, Month, Monthly_MSL, Linear_Trend, High_Conf., Low_Conf.
1906,1,-0.176,-0.193,-0.182,-0.205,
1906,2,-0.118,-0.193,-0.182,-0.205,
1906,3,-0.148,-0.193,-0.181,-0.205,
1906,4,-0.177,-0.193,-0.181,-0.204,
1906,5,-0.227,-0.193,-0.181,-0.204,
1906,6,-0.208,-0.192,-0.181,-0.204,
1906,7,-0.160,-0.192,-0.181,-0.204,
1906,8,-0.167,-0.192,-0.181,-0.204,
1906,9,-0.185,-0.192,-0.180,-0.203,
1906,10,-0.175,-0.192,-0.180,-0.203,
1906,11,-0.215,-0.191,-0.180,-0.203,
1906,12,-0.184,-0.191,-0.180,-0.203,
1907,1,-0.176,-0.191,-0.180,-0.203,
1907,2,-0.146,-0.191,-0.180,-0.202,
1907,3,-0.175,-0.191,-0.179,-0.202,
1907,4,-0.146,-0.191,-0.179,-0.202,
1907,5,-0.160,-0.190,-0.179,-0.202,
1907,6,-0.178,-0.190,-0.179,-0.202,
1907,7,-0.126,-0.190,-0.179,-0.201,
1907,8,-0.143,-0.190,-0.178,-0.201,
1907,9,-0.176,-0.190,-0.178,-0.201,
1907,10,-0.138,-0.189,-0.178,-0.201,
1907,11,-0.163,-0.189,-0.178,-0.201,
1907,12,-0.191,-0.189,-0.178,-0.200,
1908,1,-0.136,-0.189,-0.178,-0.200,
1908,2,-0.203,-0.189,-0.177,-0.200,
1908,3,-0.169,-0.189,-0.177,-0.200,
1908,4,-0.155,-0.188,-0.177,-0.200,
1908,5,-0.209,-0.188,-0.177,-0.199,
1908,6,-0.202,-0.188,-0.177,-0.199,
1908,7,-0.187,-0.188,-0.177,-0.199,
1908,8,-0.174,-0.188,-0.176,-0.199,
1908,9,-0.185,-0.187,-0.176,-0.199,
1908,10,-0.196,-0.187,-0.176,-0.198,
1908,11,-0.242,-0.187,-0.176,-0.198,
1908,12,-0.215,-0.187,-0.176,-0.198,
1909,1,-0.212,-0.187,-0.176,-0.198,
1909,2,-0.231,-0.186,-0.175,-0.198,
1909,3,-0.194,-0.186,-0.175,-0.197,
1909,4,-0.183,-0.186,-0.175,-0.197,
1909,5,-0.209,-0.186,-0.175,-0.197,
1909,6,-0.187,-0.186,-0.175,-0.197,
1909,7,-0.196,-0.186,-0.174,-0.197,
1909,8,-0.228,-0.185,-0.174,-0.196,
1909,9,-0.234,-0.185,-0.174,-0.196,
1909,10,-0.217,-0.185,-0.174,-0.196,
1909,11,-0.230,-0.185,-0.174,-0.196,
1909,12,-0.169,-0.185,-0.174,-0.196,
1910,1,-0.221,-0.184,-0.173,-0.195,
1910,2,-0.231,-0.184,-0.173,-0.195,
1910,3,-0.175,-0.184,-0.173,-0.195,
1910,4,-0.186,-0.184,-0.173,-0.195,
1910,5,-0.224,-0.184,-0.173,-0.195,
1910,6,-0.184,-0.183,-0.173,-0.194,
1910,7,-0.175,-0.183,-0.172,-0.194,
1910,8,-0.210,-0.183,-0.172,-0.194,
1910,9,-0.188,-0.183,-0.172,-0.194,
1910,10,-0.202,-0.183,-0.172,-0.194,
1910,11,-0.193,-0.183,-0.172,-0.193,
1910,12,-0.184,-0.182,-0.172,-0.193,
1911,1,-0.182,-0.182,-0.171,-0.193,
1911,2,-0.170,-0.182,-0.171,-0.193,
1911,3,-0.148,-0.182,-0.171,-0.193,
1911,4,-0.158,-0.182,-0.171,-0.192,
1911,5,-0.142,-0.181,-0.171,-0.192,
1911,6,-0.169,-0.181,-0.170,-0.192,
1911,7,-0.144,-0.181,-0.170,-0.192,
1911,8,-0.134,-0.181,-0.170,-0.192,
1911,9,-0.134,-0.181,-0.170,-0.191,
1911,10,-0.074,-0.181,-0.170,-0.191,
1911,11,-0.081,-0.180,-0.170,-0.191,
1911,12,-0.102,-0.180,-0.169,-0.191,
1912,1,-0.109,-0.180,-0.169,-0.191,
1912,2,-0.179,-0.180,-0.169,-0.190,
1912,3,-0.127,-0.180,-0.169,-0.190,
1912,4,-0.171,-0.179,-0.169,-0.190,
1912,5,-0.178,-0.179,-0.169,-0.190,
1912,6,-0.165,-0.179,-0.168,-0.190,
1912,7,-0.196,-0.179,-0.168,-0.189,
1912,8,-0.195,-0.179,-0.168,-0.189,
1912,9,-0.228,-0.178,-0.168,-0.189,
1912,10,-0.162,-0.178,-0.168,-0.189,
1912,11,-0.187,-0.178,-0.168,-0.189,
1912,12,-0.212,-0.178,-0.167,-0.188,
1913,1,-0.200,-0.178,-0.167,-0.188,
1913,2,-0.130,-0.178,-0.167,-0.188,
1913,3,-0.200,-0.177,-0.167,-0.188,
1913,4,-0.164,-0.177,-0.167,-0.188,
1913,5,-0.203,-0.177,-0.166,-0.188,
1913,6,-0.178,-0.177,-0.166,-0.187,
1913,7,-0.163,-0.177,-0.166,-0.187,
1913,8,-0.186,-0.176,-0.166,-0.187,
1913,9,-0.173,-0.176,-0.166,-0.187,
1913,10,-0.153,-0.176,-0.166,-0.187,
1913,11,-0.132,-0.176,-0.165,-0.186,
1913,12,-0.160,-0.176,-0.165,-0.186,
1914,1,-0.136,-0.175,-0.165,-0.186,
1914,2,-0.115,-0.175,-0.165,-0.186,
1914,3,-0.078,-0.175,-0.165,-0.186,
1914,4,-0.161,-0.175,-0.165,-0.185,
1914,5,-0.184,-0.175,-0.164,-0.185,
1914,6,-0.165,-0.175,-0.164,-0.185,
1914,7,-0.190,-0.174,-0.164,-0.185,
1914,8,-0.167,-0.174,-0.164,-0.185,
1914,9,-0.149,-0.174,-0.164,-0.184,
1914,10,-0.120,-0.174,-0.163,-0.184,
1914,11,-0.065,-0.174,-0.163,-0.184,
1914,12,-0.020,-0.173,-0.163,-0.184,
1915,1,-0.075,-0.173,-0.163,-0.184,
1915,2,-0.097,-0.173,-0.163,-0.183,
1915,3,-0.096,-0.173,-0.163,-0.183,
1915,4,-0.107,-0.173,-0.162,-0.183,
1915,5,-0.172,-0.173,-0.162,-0.183,
1915,6,-0.138,-0.172,-0.162,-0.183,
1915,7,-0.166,-0.172,-0.162,-0.182,
1915,8,-0.137,-0.172,-0.162,-0.182,
1915,9,-0.152,-0.172,-0.162,-0.182,
1915,10,-0.184,-0.172,-0.161,-0.182,
1915,11,-0.163,-0.171,-0.161,-0.182,
1915,12,-0.178,-0.171,-0.161,-0.181,
1916,1,-0.133,-0.171,-0.161,-0.181,
1916,2,-0.200,-0.171,-0.161,-0.181,
1916,3,-0.151,-0.171,-0.161,-0.181,
1916,4,-0.137,-0.170,-0.160,-0.181,
1916,5,-0.172,-0.170,-0.160,-0.180,
1916,6,-0.220,-0.170,-0.160,-0.180,
1916,7,-0.202,-0.170,-0.160,-0.180,
1916,8,-0.204,-0.170,-0.160,-0.180,
