DATE,PRCP,TMAX,NROWS
1941,5366.0,,184
1942,10231.0,,365
1943,8699.0,,363
1944,7279.0,,273
1945,17055.0,,365
1946,13615.0,,365
1947,7069.0,267.9496855345912,365
1948,10760.0,44.0,365
1949,10768.0,,364
1950,10688.0,,362
1951,10911.0,,353
1952,9625.0,,366
1953,10129.0,,363
1954,7872.0,,365
1955,7801.0,,365
1956,6990.0,,365
1957,18122.0,,365
1958,11556.0,,334
1959,10122.0,,365
1960,8528.0,,365
1961,13587.0,,365
1962,10396.0,,357
1963,5160.0,,365
1964,10302.0,,366
1965,9338.0,,365
1966,7983.0,,365
1967,12730.0,,365
1968,15258.0,,366
1969,10328.0,,365
1970,10232.0,,365
1971,10127.0,,365
1972,9219.0,,366
1973,15096.0,,365
1974,11916.0,,365
1975,10995.0,,365
1976,6859.0,,366
1977,7489.0,,365
1978,7726.0,,364
1979,13372.0,,365
1980,6308.0,,366
1981,12296.0,,365
1982,35869.0,,364
1983,11190.0,,364
1984,15790.0,,366
1985,12308.0,,365
1986,11457.0,,365
1987,13298.0,,365
1988,8566.0,,366
1989,11059.0,,365
1990,17718.0,,365
1991,13628.0,,365
1992,10935.0,,366
1993,12892.0,,365
1994,15854.0,,365
1995,10809.0,,365
1996,13840.0,,366
1997,11401.0,,365
1998,12867.0,,365
1999,11781.0,,365
2000,10530.0,,366
2001,13079.0,,365
2002,15226.0,,365
2003,8873.0,,365
2004,12486.0,,366
2005,8039.0,,365
2006,11261.0,,365
2007,10644.0,,365
2008,15560.0,,366
2009,11545.0,,365
2010,5728.0,,365
2011,10727.0,,365
2012,3913.0,,182
2014,12623.0,,335
2015,24915.0,,365
2016,15168.0,,366
2017,12222.0,,365
2018,22235.0,,365
2019,19168.0,,365
2020,19054.0,,366
2021,13651.0,,365
2022,11715.0,,365
2023,14712.0,,365
2024,11269.0,,274
