DATE,PRCP,TMAX,NROWS
1968,8021.0,,335
1969,9486.0,,365
1970,6270.0,,365
1971,7592.0,,365
1972,5475.0,,366
1973,10143.0,,365
1974,9377.0,,365
1975,7638.0,,365
1976,8008.0,,366
1977,5887.0,,365
1978,6895.0,,365
1979,10176.0,,365
1980,6627.0,395.9555555555556,366
1981,11807.0,,365
1982,6432.0,,365
1983,6043.0,,364
1984,6920.0,,366
1985,8127.0,,365
1986,8890.0,,365
1987,9267.0,,365
1988,5786.0,,366
1989,6240.0,,365
1990,7840.0,,365
1991,11153.0,,365
1992,10124.0,,366
1993,8155.0,,365
1994,7410.0,,365
1995,1151.0,,90
1996,7527.0,,288
1997,10902.0,,365
1998,9355.0,,365
1999,6751.0,,365
2000,10026.0,,366
2001,9625.0,,365
2002,8546.0,,365
2003,6149.0,,365
2004,11951.0,,366
2005,6208.0,,365
2006,7655.0,,365
2007,13538.0,,365
2008,4745.0,,366
2009,10588.0,,365
2010,9934.0,,365
2011,4881.0,,365
2012,6883.0,,366
2013,9057.0,,365
2014,5489.0,,365
2015,10701.0,,365
2016,10502.0,,366
2017,7437.0,,365
2018,8856.0,,273
2019,7215.0,,272
2020,5933.0,,304
2021,2780.0,,146
2022,3323.0,,183
2023,178.0,,31
