DATE,PRCP,TMAX,NROWS
1972,2736.0,,61
1973,10366.0,,365
1974,9608.0,,365
1975,11479.0,,365
1976,9824.0,,335
1977,8102.0,,245
1978,11080.0,,365
1979,10805.0,,302
1980,9098.0,,348
1981,8256.0,,321
1982,8692.0,,365
1983,10758.0,,365
1984,9074.0,,335
1985,8971.0,,304
1986,2935.0,,89
1987,4574.0,,183
1988,404.0,,31
1991,3220.0,,153
1992,8205.0,,358
1993,12182.0,,365
1994,11961.0,61.57377049180328,365
1995,9274.0,,365
1996,14760.0,,366
1997,10151.0,,365
1998,10821.0,,365
1999,9707.0,,365
2000,9239.0,,366
2001,8670.0,,365
2002,10461.0,,365
2003,12060.0,,334
2004,14425.0,,366
2005,10740.0,,365
2006,9914.0,,365
2007,10101.0,,365
2008,10991.0,,366
2009,9972.0,,365
2010,10757.0,,365
2011,14444.0,,365
2012,10298.0,,366
2013,8631.0,,365
2014,9714.0,,365
2015,10728.0,,365
2016,9769.0,,366
2017,11710.0,,365
2018,17245.0,,365
2019,11733.0,,365
2020,9872.0,,366
2021,11163.0,,364
2022,10734.0,,365
2023,10300.0,,365
2024,10213.0,,290
