DATE,PRCP,TMAX,NROWS
1971,12274.0,,334
1972,14488.0,,366
1973,14834.0,,365
1974,20226.0,,365
1975,17544.0,,365
1976,13456.0,,366
1977,14940.0,,365
1978,20650.0,,365
1979,20576.0,-172.0,365
1980,22499.0,,366
1981,21157.0,,365
1982,32777.0,,365
1983,8819.0,,365
1984,10133.0,,366
1985,15825.0,,365
1986,14919.0,,365
1987,23753.0,,365
1988,23168.0,,366
1989,25549.0,,335
1990,22833.0,,365
1991,15239.0,,365
1992,24897.0,,366
1993,17804.0,,365
1994,20953.0,,365
1995,20278.0,,365
1996,28598.0,,366
1997,22555.0,,365
1998,8515.0,,365
1999,7691.0,,365
2000,8513.0,,366
2001,7747.0,,365
2002,18229.0,,365
2003,22735.0,,365
2004,29039.0,,366
2005,16711.0,,365
2006,19935.0,,365
2007,14235.0,,365
2008,16746.0,,366
2009,18920.0,,365
2010,13114.0,,365
2011,15903.0,,339
2012,10483.0,,357
2013,14110.0,,310
2014,11311.0,,272
2015,8487.0,,225
2016,13153.0,,263
2017,11926.0,,234
2018,17330.0,,242
2019,12794.0,,245
2020,8581.0,,247
2021,10951.0,,240
2022,6797.0,,232
2023,11567.0,,229
2024,9905.0,,143
