DATE,PRCP,TMAX,NROWS
1939,3480.0,,121
1940,6160.0,,265
1941,7094.0,,311
1942,9906.0,,365
1943,7383.0,,365
1944,7032.0,,310
1945,7681.0,,179
1946,4199.0,,103
1947,1290.0,,92
1948,5180.0,,336
1949,4472.0,,365
1950,6430.0,,335
1951,7066.0,,243
1952,6097.0,,275
1953,6297.0,,243
1954,8988.0,,365
1955,5603.0,,365
1956,7644.0,-178.0,366
1957,8579.0,,365
1958,5083.0,,365
1959,9036.0,,365
1960,6206.0,,366
1961,7026.0,,365
1962,7718.0,,365
1963,6695.0,,365
1964,5722.0,,366
1965,9692.0,,365
1966,6782.0,,365
1967,7923.0,,365
1968,9475.0,,366
1969,8110.0,,365
1970,8791.0,,365
1971,8091.0,,365
1972,8092.0,,366
1973,10641.0,,365
1974,8152.0,,365
1975,8544.0,,365
1976,5687.0,,366
1977,8256.0,,365
1978,11144.0,,365
1979,9023.0,,365
1980,6460.0,,366
1981,8593.0,,365
1982,9663.0,,365
1983,10781.0,,365
1984,8326.0,,366
1985,7215.0,,365
1986,10050.0,,365
1987,7670.0,,365
1988,6270.0,,316
1989,5504.0,,365
1990,10898.0,,365
1991,10261.0,,365
1992,7349.0,,366
1993,10435.0,,365
1994,8556.0,,365
1995,7389.0,,365
1996,7705.0,,335
1997,7908.0,,365
1998,10416.0,,365
1999,10096.0,,365
2000,8947.0,,366
2001,8977.0,,365
2002,5973.0,,360
2003,5502.0,,365
2004,9767.0,,366
2005,7025.0,,365
2006,8094.0,,359
2007,10225.0,,352
2008,7515.0,,366
2009,7167.0,,365
2010,9368.0,,336
2011,7753.0,,365
2012,7525.0,,364
2013,9181.0,,364
2014,9153.0,,365
2015,8610.0,,365
2016,10101.0,,366
2017,9972.0,,365
2018,10232.0,,365
2019,10973.0,,365
2020,7729.0,,366
2021,7386.0,,365
2022,8317.0,,365
2023,7339.0,,363
2024,8012.0,,293
