DATE,PRCP,TMAX,NROWS
1951,2910.0,,92
1952,9744.0,,366
1953,8133.0,,365
1954,9178.0,,365
1955,8931.0,,365
1956,12181.0,,366
1957,10268.0,,365
1958,11069.0,,365
1959,9861.0,,364
1960,8652.0,,366
1961,12065.0,,365
1962,10548.0,,365
1963,8079.0,,365
1964,11466.0,,366
1965,10299.0,,365
1966,10464.0,,365
1967,9416.0,,365
1968,12077.0,,366
1969,9172.0,,365
1970,10981.0,,365
1971,8854.0,,365
1972,11215.0,-161.0,366
1973,10124.0,,365
1974,12270.0,,365
1975,11209.0,,365
1976,8878.0,,366
1977,10302.0,,365
1978,11455.0,,365
1979,12028.0,,365
1980,10966.0,,366
1981,9239.0,,365
1982,11230.0,,365
1983,11685.0,,365
1984,9067.0,,366
1985,9120.0,,365
1986,8956.0,,365
1987,5662.0,,365
1988,8090.0,,335
1989,10914.0,,365
1990,11069.0,,365
1991,8981.0,,334
1992,5739.0,,304
1993,7756.0,,365
1994,10477.0,,365
1995,9319.0,,365
1996,11512.0,,366
1997,10663.0,,365
1998,9903.0,,365
1999,7442.0,,365
2000,11455.0,,366
2001,9561.0,,365
2002,10062.0,,365
2003,11285.0,,365
2004,11543.0,,335
2005,10008.0,,365
2006,10249.0,,365
2007,8653.0,,334
2008,9772.0,,335
2009,8312.0,,337
2010,9833.0,,365
2011,15671.0,,359
2012,10173.0,,361
2013,10147.0,,362
2014,8798.0,,364
2015,9468.0,,357
2016,8961.0,,366
2017,10783.0,,363
2018,12413.0,,341
2019,12771.0,,364
2020,9801.0,,366
2021,9328.0,,365
2022,10850.0,,365
2023,8161.0,,365
2024,6491.0,,292
