DATE,PRCP,TMIN,NROWS
1950,1808.0,,195
1951,3373.0,,365
1952,1168.0,,366
1953,4412.0,11.0,365
1954,2709.0,,365
1955,2623.0,,365
1956,2640.0,,366
1957,3103.0,,365
1958,2834.0,,365
1959,2725.0,,365
1960,1857.0,,366
1961,2869.0,,365
1962,5492.0,,365
1963,4093.0,,365
1964,3511.0,,366
1965,3206.0,,365
1966,3319.0,,365
1967,4294.0,,365
1968,4469.0,,366
1969,3832.0,,365
1970,4034.0,,365
1971,5003.0,,365
1972,4395.0,,366
1973,5061.0,,365
1974,3301.0,,365
1975,4739.0,,365
1976,3755.0,,366
1977,4692.0,,365
1978,4508.0,,365
1979,2717.0,,365
1980,2739.0,,366
1981,2717.0,,365
1982,5832.0,,347
1983,3578.0,,361
1984,3559.0,,366
1985,4070.0,,365
1986,4053.0,,365
1987,3258.0,,365
1988,1217.0,,346
1989,3651.0,,365
1990,2376.0,,365
1991,3953.0,,365
1992,2708.0,,366
1993,4799.0,,365
1994,3884.0,,365
1995,3002.0,,365
1996,2958.0,,366
1997,3312.0,,365
1998,4101.0,,365
1999,3698.0,,365
2000,3525.0,,366
2001,3256.0,,365
2002,2888.0,,365
2003,3400.0,,365
2004,2403.0,,366
2005,5447.0,,365
2006,3177.0,,365
2007,3701.0,,365
2008,3720.0,,366
2009,3981.0,,365
2010,4694.0,,365
2011,5274.0,,363
2012,2052.0,,366
2013,5282.0,,334
2014,3483.0,,365
2015,3544.0,,365
2016,4057.0,,366
2017,2493.0,,365
2018,4063.0,,365
2019,5039.0,,365
2020,2757.0,,366
2021,2060.0,,365
2022,5096.0,,365
2023,4989.0,,365
2024,2800.0,,244
