DATE,PRCP,TMAX,NROWS
1909,219.0,,3
1911,6462.0,,245
1912,7539.0,,250
1913,8034.0,,334
1914,6222.0,,128
1915,6578.0,,95
1916,464.0,,6
1917,571.0,,2
1918,1875.0,,9
1919,1376.0,,2
1920,2634.0,,9
1921,0.0,,1
1922,1981.0,,3
1923,528.0,,1
1929,0.0,,2
1936,4017.0,,153
1937,11028.0,,365
1938,10486.0,,365
1939,7357.0,,365
1940,11017.0,,366
1941,7470.0,,365
1942,10009.0,,365
1943,10618.0,,365
1944,9588.0,,366
1945,12243.0,,365
1946,9697.0,,365
1947,11844.0,,365
1948,11101.0,,366
1949,9418.0,,365
1950,11432.0,,365
1951,10412.0,,365
1952,9318.0,,366
1953,8595.0,,365
1954,10147.0,,365
1955,9146.0,,365
1956,11682.0,,366
1957,7079.0,,365
1958,11363.0,,365
1959,10624.0,,364
1960,10298.0,,366
1961,9849.0,,365
1962,9381.0,,365
1963,7763.0,,365
1964,7935.0,,366
1965,7649.0,,365
1966,8616.0,,365
1967,10541.0,,365
1968,10801.0,,366
1969,8224.0,,365
1970,9306.0,,365
1971,9613.0,,365
1972,13202.0,,366
1973,4390.0,,181
1979,1294.0,,61
1980,7402.0,-178.0,306
1981,8416.0,,365
1982,8450.0,,365
1983,11146.0,,365
1984,10257.0,,366
1985,8986.0,,365
1986,10843.0,,365
1987,8599.0,,365
1988,8657.0,,366
1989,9554.0,,365
1990,11486.0,,365
1991,9563.0,,354
1992,10125.0,,362
1993,10931.0,,307
1994,11398.0,,365
1995,9504.0,,351
1996,12170.0,,337
1997,8051.0,,346
1998,10053.0,,365
1999,9120.0,,365
2000,12782.0,,366
2001,8372.0,,365
2002,10635.0,,354
2003,11639.0,,364
2004,11225.0,,366
2005,11761.0,,323
2006,9891.0,,264
2007,3008.0,,116
2008,9461.0,,335
2009,10763.0,,363
2010,9777.0,,365
2011,16196.0,,345
2012,9498.0,,337
2013,11798.0,,350
2014,10253.0,,365
2015,11112.0,,362
2016,9018.0,,366
2017,12461.0,,364
2018,14689.0,,364
2019,12596.0,,364
2020,13442.0,,366
2021,14042.0,,365
2022,11367.0,,365
2023,11573.0,,365
2024,10936.0,,297
